model,allergen,precision,recall,f1,support
TF-IDF + Linear SVM,egg,1.0,0.6666666666666666,0.8,6
TF-IDF + Random Forest,egg,1.0,0.5,0.6666666666666666,6
P-HAF-KG V2.1,egg,1.0,1.0,1.0,6
TF-IDF + Linear SVM,milk,0.75,0.9230769230769232,0.8275862068965517,13
TF-IDF + Random Forest,milk,0.8461538461538461,0.8461538461538461,0.8461538461538461,13
P-HAF-KG V2.1,milk,0.9285714285714286,1.0,0.9629629629629628,13
TF-IDF + Linear SVM,peanut,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
TF-IDF + Random Forest,peanut,0.7142857142857143,0.8333333333333334,0.7692307692307693,6
P-HAF-KG V2.1,peanut,1.0,1.0,1.0,6
TF-IDF + Linear SVM,sesame,0.5,1.0,0.6666666666666666,1
TF-IDF + Random Forest,sesame,1.0,1.0,1.0,1
P-HAF-KG V2.1,sesame,1.0,1.0,1.0,1
TF-IDF + Linear SVM,soy,0.4545454545454545,0.5555555555555556,0.5,9
TF-IDF + Random Forest,soy,0.5,0.4444444444444444,0.4705882352941176,9
P-HAF-KG V2.1,soy,1.0,0.8888888888888888,0.9411764705882352,9
TF-IDF + Linear SVM,tree_nut,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
TF-IDF + Random Forest,tree_nut,0.5,0.5,0.5,6
P-HAF-KG V2.1,tree_nut,1.0,1.0,1.0,6
TF-IDF + Linear SVM,wheat_gluten,0.6666666666666666,0.9090909090909092,0.7692307692307693,11
TF-IDF + Random Forest,wheat_gluten,0.8888888888888888,0.7272727272727273,0.8,11
P-HAF-KG V2.1,wheat_gluten,1.0,1.0,1.0,11
