code,product_name,ingredients_text,allergens,allergens_en,additives_en,confirmed_allergens,potential_allergens,evidence_level,evidence_text,is_food,review_status
00000013,Powdered peanut butter,"Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin",,,,,,,,,PENDING
00000020,Nesquik moins de sucre,"Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E","en:eggs,en:gluten,en:milk,en:soybeans",,,,,,,,PENDING
00000137,Peanut Brittle,"Sugar, glucose syrup, peanuts (30%)",,,,,,,,,PENDING
00000231,Bramwells American Style Peanut Butter,"Fructose, Soy Protein Isolate, Calcium Caseinate, Cocoa Powder, Casein, Oat Fiber, Cellulose Powder, Vegetable Stabilizer Guar Gum, Vitamins Premix, Minerals Premix, Canola Oil, Salt, Anticaking Agent Silicon Dioxide, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Dicalcium Phosphate, Thickener Carrageenan, dl-Methionine, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Silicon Dioxide, Vegetable Thickener Citrus Pectin, Psyllium Husk Powder, Hibiscus Sabdariffa Powder, Papaya Fruit Powder, Digestive Aids Papain and Bromelain",,,"E341 - Calcium phosphates,E341ii - Dicalcium phosphate,E407 - Carrageenan,E412 - Guar gum,E440 - Pectins,E551 - Silicon dioxide",,,,,,PENDING
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,"Concentré de protéines de lait (protéines de lactosérum, caséinate de calcium (contient du lait)), sirop de glucose, sirop de fructose, enrobage au chocolat au lait (17 %) (sucre, poudre de lait, beurre de cacao, pâte de cacao, émulsifiant (lécithine de soja), arôme), pâte d'arachide (10 %), gélatine, riz soufflé, poudre de cacao (0,7 %), colorant (caramel), arômes, DL-alpha-tocophérol, nicotinamide, D-pantothénate de calcium, chlorhydrate de thiamine, chlorhydrate de pyridoxine, riboflavine, cyanocobalamine. Conseil : pour les allergènes, voir les ingrédients en gras. PEUT CONTENIR DES TRACES D'AUTRES FRUITS À COQUES ET DE GLUTEN.","en:milk,en:soybeans",,"E150 - Caramel,E322 - Lecithins,E322i - Lecithin,E428 - Gelatine",,,,,,PENDING
00000321,Noix du Brésil,Brazil Nuts,"en:gluten,en:nuts,en:peanuts,en:sesame-seeds",,,,,,,,PENDING
00000452,,"Weizenmehl, Zucker, pflanzliche Fette (Palm, Kokos), Kakaomasse, Kakaobutter, Butterreinfett, Vollmilchpulver, Süßmolkenpulver, Magermilchpulver, Weizenstärke, fettarmes Kakaopulver, Hühnereieiweiß, Invertzuckersirup, Dextrose, Mandeln, Emulgatoren: Lecithine (enthält Soja), Mono - und Diglyceride von Speisefettsäuren; Kokosraspeln, Glukosesirup, Laktose, Salz, Backtriebmittel: Natriumcarbonate, Diphosphate, Ammoniumcarbonate; natürliches Aroma (enthält Gluten, Milch), Volleipulver, Rapsöl, Milcheiweiß, Hühnereieiweißpulver, Hühnereieigelbpulver, Karamellzuckersirup, Gewürze, Gerstenmalzextrakt, Farbstoff: Beta-Carotin. Kann andere Schalenfrüchte, Erdnüsse, Lupine und Sesam enthalten. GB Biscuit assortment with 17% chocolate, 10% milk chocolate and 6% white chocolate Ingredients: Wheat flour, sugar, vegetable fats (palm, coconut), cocoa mass, cocoa butter, pure butterfat (milk), whole milk powder, sweet whey powder (milk), skimmed milk powder, wheat starch, low fat cocoa powder, egg white, invert sugar syrup, dextrose, almonds, emulsifiers: lecithins (contain soya), mono - and diglycerides of fatty acids; rasped coconut, glucose syrup, lactose (milk), salt, raising agents: sodium carbonates, diphosphates, ammonium carbonates; natural flavour (contains gluten, milk). whole egg powder, rapeseed oil, milk protein, dried egg white, egg yolk powder, caramel sugar syrup, spices, malt extract (barley), colour: beta carotene. May contain other nuts, peanuts, lupin and sesame. FR Assortiment de biscuits avec 17% de chocolat, 10% de chocolat au lait et 6% de chocolat blanc Ingrédients: Farine de froment, sucre, graisses végétales (palme, coco), masse de cacao, beurre de cacao, graisse butyrique, lait entier en poudre, lactosérum doux en poudre, lait écrémé en poudre, amidon de blé, cacao maigre en poudre, blanc d'œufs, sirop de sucre inverti, dextrose, amandes, émulsifiants: lecithines (contient soja), mono-et diglycérides d'acides gras; noix de coco râpées, sirop de glucose, lactose, sel, poudres à lever: carbonates de sodium, diphosphates, carbonates d'ammonium; arôme naturel (contient du gluten, du lait), ceuf entier en poudre, huile de colza, protéine de lait, blancs d'œufs séché, jaune d'œuf en poudre, sirop de sucre caramélisé, épices, extrait de malt d'orge, colorant: béta-carotene. Peut contenir d'autres fruits à coque, de l'arachide, du lupin et du sésame. Sonnenkel Zartes Gebäck, verw Vollmilchschok PT Sortido de biscoito com Ingredientes: farinha de trigo leite gordo em pó, soro de la açúcar invertido, dextrose, amên glicose, lactose, sal, levedantes inteiro em pó, óleo de colza, p extracto de malte (cevada) Pode conter outros frutos d DK Blandede biscuits med Ingredienser: hvedemel, sukker vallepulver, skummetmælks emulgatorer: lecithiner (indehold natriumcarbonater, diphosphate æggehvidepulver, æggeblo Kan indeholde andre skalfre Nährwertde Déclaration nutr Información nut Declaração Energie/energy/énergie/e",en:milk,,"E160a - Carotene,E160ai - Beta-carotene,E322 - Lecithins,E450 - Diphosphates,E471 - Mono- and diglycerides of fatty acids,E500 - Sodium carbonates,E503 - Ammonium carbonates",,,,,,PENDING
00000833,saint Michel galettes,Processor  Memory (RAM)  Storage  Display  Battery  Keyboard and Touchpad  Wireless Connectivity  Ports  Camera and Microphone  Speakers  Build Materials  Operating System,"en:peanuts,en:Strontium-90,en:Uranuim-235",,,,,,,,PENDING
0000128884525,Coop peanut butter,"ingredients roasted peanuts (96%), vegetable oil (palm, peanut, sugar, salt, allergy advice for allergens, seeingredens in bold, not suitable for other nut allergy sufferers,",,,,,,,,,PENDING
0000159457878,"Celebrations, candy","Sugar, glucose syrup, cocoa butter, skimmed milk powder, cocoa mass, milk fat, peanuts lactose, palm fat, desiccated coconut wheat flour, whey powder (from milk), sunflower oil, full cream milk powder skimmed condensed milk, emulsifiers (soya lecithin, e471), barley malt extract, fat reduced cocoa, salt, humectant (glycerol), egg white powder, natural vanilla extract, raising agents (e341, e500, e501), coconut oil hydrolysed milk protein, (may contain hazelnut), milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum",,,"E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E422 - Glycerol,E471 - Mono- and diglycerides of fatty acids,E500 - Sodium carbonates,E501 - Potassium carbonates",,,,,,PENDING
0000200000002,Beurre de Cacahuètes Bio,"Cacahuètes grillées* (99,7%), sel de mer (0,3%). (*issu de l'agriculture biologique)",en:peanuts,,,,,,,,PENDING
0000200000015,Purée d'Amandes Blanches Grillées Bio,"Amandes blanches grillées* (100%) (*issu de l'agricul - ture biologique). Peut contenir des traces de fruits à coque, d'arachides et de graines de sésame. Ingredients: roasted white almonds* (100%) (*from organic farming). May contain traces of tree nuts, peanuts and sesame seeds. À consommer avant le : voir couvercle /To be consumed before: see the lid 10",en:peanuts,,,,,,,,PENDING
