code,product_name,ingredients_text,allergens,allergens_en,additives_en,candidate_category,confirmed_allergens,potential_allergens,evidence_level,is_food,review_status
00002199,Petit beurre tablette choco,"Chocolat au lait 48% (sucre, beurre et pâte de cacao, lait écrémé en poudre, lactose, matière grasse laitière anhydre, émulsifiant lécithines (tournesol), arôme), farine de blé, sucre, beurre concentré (soit 9% de beurre reconstitué), lait entier en poudre, poudres à lever : carbonates d'ammonium carbonates de sodium - diphosphates, sel. Peut contenir des traces de soja, de graines de sésame, d'eufs et de fruits à coque. VALEURS NUTRITIONNELLES ΜΟΥΕΝNES Pour 2 Biscuits (25g) Pour 100 g",,,"E322 - Lecithins,E322i - Lecithin,E450 - Diphosphates,E503 - Ammonium carbonates",,milk;wheat_gluten,soy;sesame;egg;tree_nut,BOTH,YES,KEEP
00001664,Brins de ChocoCaramel,"Chocolat au lait 40% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sirop de glucose-fructose, farine de blé 23%, sucre, stabilisant : glycérol, fructose, lait concentré sucré (lait entier, sucre), caramel aromatique 0.9%, lait écrémé en poudre, beurre concentré, beurre, sel, arôme, gélifiant : pectines, émulsifiant : lécithines (soja). Farine issue de blé français, filière responsable. Peut contenir des traces d'eufs, de graines de sésame et de fruits à coque.","en:gluten,en:milk,en:soybeans",,"E322 - Lecithins,E322i - Lecithin,E422 - Glycerol,E440 - Pectins",,milk;soy;wheat_gluten,egg;sesame;tree_nut,BOTH,YES,KEEP
00002955,Chocolat noir sésame complet,"Pâte de cacao Équateur*, sucre de canne blond*, beurre de cacao*, sésame* 10%. *Ingrédients agricoles issus de l'agriculture biologique. Cacao, sucre, Commerce Equitable contrôlé selon le référentiel Fair for Life: 90% du total des ingrédients d'origine agricole sont issus de filières BIOPARTENAIRE (¹) Plus d'informations sur www.BIOPARTENAIRE.com. Peut contenir des traces de fruits à coques, de gluten, d'oeuf, de soja et de lait.",en:sesame-seeds,,,,sesame,tree_nut;wheat_gluten;egg;soy;milk,BOTH,YES,KEEP
00013819,Triangle Comtois,"PATE A PAIN [farine de BLE (farine de BLE, GLUTEN de BLE, farine de BLE malité, levure désactivée), eau, dextrose, graines de tournesol 1,5%, sel, levure, poudre de BEURRE, perméat de LACTOSERUM, émulsifiant: E471e, GLUTEN de BLE. graines de millet 0,3%, graines de SESAME O,3%, colorant E160aiii, agent de traitement de la farine : E300], décor GRAINES 3% [millet 45%, SESAME 35%, pavot 20%]. UR US Garhiture 56% Jambon 35,7% (jambon de porc [origine France], eau, sel, arômes naturels, dextrose, bouillon de porc déshydratė [eau, os et viande de porc, extrait de carotte et extrait de poireau], sirop de glucose, chlorure de potassium, antioxydant ascorbate de sodium. conservateur nitrite de C sodium)salade batavia 21,4%. tomate 21.4% COMTE 7,1% (LAIT de vache, sel, FERMENTS LACTIQUES, présure), moutarde 7,1% (eau, graines de moutarde, vinaigre d’alcool, sel, acidifiant : acide citrique, conservateur : DISULFITE de potassium), BEURRE léger 7,1% (eau, BEURRE, amidon modifié E1422, amidon de pomme de terre, acidifiant : acide lactique, sel 0,4%, émulsifiants E471, épaississant E466, conservateur : sorbate de potassium colorant : bêta-carotène, arôme naturel)",,,"E1422 - Acetylated distarch adipate,E160a - Carotene,E160ai - Beta-carotene,E160aiii - Beta-carotene from blakeslea trispora,E300 - Ascorbic acid,E466 - Sodium carboxy methyl cellulose,E471 - Mono- and diglycerides of fatty acids",,milk;wheat_gluten;sesame,,DIRECT,YES,KEEP
0002000012670,,"Farine de blé 28,2%, eau, farine de blé complet 22%, levure, sema de maïs, gluten de blé, graines de tournesol toastées 2,6%, graines de courge toastées 2,6%, graines de tourne 2,1%, sucre, alcool, sel, graines de lin brun 0,6%, graines de pavot 0,5%, graines de millet 0,5%, graines de lind 0,4%, amidon de maïs, levain de blé dévitalisé, poudre d'acérola, conservateurs: propionate de calcium, a sorbique, levure sèche désactivée. Traces éventuelles de lait, œuf, sésame, soja et moutarde. Fabriqué en Fra Les graines ne proviennent pas de France. də sun эр эшше and de sns ариалалдар ашшоя 9202",,,E282 - Calcium propionate,,wheat_gluten,milk;egg;sesame;soy,BOTH,YES,KEEP
0000705520537,,"Roggenmehl 47%, Weizenmehl 45%, getrockneter Sauerteig (Roggenmehl, natürlich fermentiert), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Trockenhefe 2%, Traubenzucker, Gerstenmalzmehl, Säuerungsmittel (Äpfelsäure) Malzextrakt (Gerste, Roggen), Mehlbehand - lungsmittel (Ascorbinsäure). Kann Spuren von Milch, Ei, Sesam, Soja und Lupinen enthalten. Durchschnittliche Nährwerte Energie Fett",en:gluten,,E300 - Ascorbic acid,,wheat_gluten,milk;egg;sesame;soy,BOTH,YES,KEEP
0002114016008,"Unseasoned bread crumbs, plain","Enriched flour (flour, malted barley, niacin, ferrous sulfate, thiamin mononitrate [vitamin b1], riboflavin [vitamin b2], folic acid), high fructose corn syrup, corn syrup, partially hydrogenated vegetable oil (soybean and/or cottonseed and/or corn and/or canola oils), water, salt. contains 2 percent or less of yeast, honey, molasses, sugar, wheat gluten, whey, soy flour, whole wheat flour, rye flour, corn flour, oat bran, oat flour, corn meal, rice flour, potato flour, butter, dough conditioners (mono - and diglycerides, sodium and/or calcium stearoyl lactylate, soy lecithin, calcium carbonate), yeast nutrients (ammonium sulfate, calcium sulfate, monocalcium phosphate), distilled vinegar, skim milk, buttermilk, lactic acid, calcium propionate (preservative), potassium sorbate (preservative), sesame seeds, sunflower seeds, eggs.","en:eggs,en:milk,en:sesame-seeds",,"E170 - Calcium carbonates,E170i - Calcium carbonate,E202 - Potassium sorbate,E270 - Lactic acid,E282 - Calcium propionate,E322 - Lecithins,E322i - Lecithin,E341 - Calcium phosphates,E341i - Monocalcium phosphate,E471 - Mono- and diglycerides of fatty acids,E516 - Calcium sulphate,E517 - Ammonium sulphate",,milk;egg;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
0001374569225,Œufs Praliné,"Praliné 32% (sucre, amandes, noisettes), sucre, beurre de cacao, lait en poudre, pâte de cacao, lactosérum en poudre, brisure de crêpe dentelle 1% (farine de blé, sucre, beurre concentré, poudre de lait écrémé, malt d'orge, sel), noisettes hachées 0,8%, matière grasse laitière en poudre, émulsifiant : lécithine de soja, arôme naturel de vanille. Traces possibles d'autres fruits à coque, œuf, sésame.",,,"E322 - Lecithins,E322i - Lecithin",,milk;soy;wheat_gluten;tree_nut,egg;sesame,BOTH,YES,KEEP
0000200000007,Purée de Sésame Tahini Bio,"Graines de sésame grillées* (99,7%), sel de mer (0,3%). (*issu de l'agriculture biologique)",en:sesame-seeds,,,,sesame,,DIRECT,YES,KEEP
00016872,Zen Party Mix,"ROASTED PEANUTS (PEANUTS, PEANUT OR CANOLA OIL, SALT), SESAME STICKS (UNBLEACHED WHEAT FLOUR, SESAME SEEDS, SUNFLOWER OIL, SA;T, BEET POWDER, TURMERIC), CHILI CRACKERS (RICE, CORN STARCH, SOY SAUCE[WATER, SOYBEANS, WHEAT, SALT], BROWN RICE SYRUP, PAPRIKA, ONION POWDER, GARLIC POWDER), TAMARI ROASTED ALMONDS (ALMONDS, TAMARI SHOYU [WATER, WHEAT, SOYBEANS, SALT]), SALT","en:gluten,en:nuts,en:peanuts,en:sesame-seeds,en:soybeans",,,,peanut;soy;wheat_gluten;sesame;tree_nut,,DIRECT,YES,KEEP
