code,product_name,ingredients_text,candidate_category,confirmed_allergens,potential_allergens,evidence_level,is_food,review_status
00000013,Powdered peanut butter,"Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin",peanut,,,EXCLUDE,NO,EXCLUDE
00000020,Nesquik moins de sucre,"Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E",peanut;wheat_gluten;tree_nut,,,EXCLUDE,NO,EXCLUDE
00000137,Peanut Brittle,"Sugar, glucose syrup, peanuts (30%)",peanut,,,EXCLUDE,NO,EXCLUDE
00000231,Bramwells American Style Peanut Butter,"Fructose, Soy Protein Isolate, Calcium Caseinate, Cocoa Powder, Casein, Oat Fiber, Cellulose Powder, Vegetable Stabilizer Guar Gum, Vitamins Premix, Minerals Premix, Canola Oil, Salt, Anticaking Agent Silicon Dioxide, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Dicalcium Phosphate, Thickener Carrageenan, dl-Methionine, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Silicon Dioxide, Vegetable Thickener Citrus Pectin, Psyllium Husk Powder, Hibiscus Sabdariffa Powder, Papaya Fruit Powder, Digestive Aids Papain and Bromelain",peanut;milk;soy,soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,"Concentré de protéines de lait (protéines de lactosérum, caséinate de calcium (contient du lait)), sirop de glucose, sirop de fructose, enrobage au chocolat au lait (17 %) (sucre, poudre de lait, beurre de cacao, pâte de cacao, émulsifiant (lécithine de soja), arôme), pâte d'arachide (10 %), gélatine, riz soufflé, poudre de cacao (0,7 %), colorant (caramel), arômes, DL-alpha-tocophérol, nicotinamide, D-pantothénate de calcium, chlorhydrate de thiamine, chlorhydrate de pyridoxine, riboflavine, cyanocobalamine. Conseil : pour les allergènes, voir les ingrédients en gras. PEUT CONTENIR DES TRACES D'AUTRES FRUITS À COQUES ET DE GLUTEN.",peanut;milk;soy;wheat_gluten,milk;egg;wheat_gluten,,DIRECT,YES,KEEP
00000321,Noix du Brésil,Brazil Nuts,tree_nut,,,EXCLUDE,NO,EXCLUDE
00000452,,"Weizenmehl, Zucker, pflanzliche Fette (Palm, Kokos), Kakaomasse, Kakaobutter, Butterreinfett, Vollmilchpulver, Süßmolkenpulver, Magermilchpulver, Weizenstärke, fettarmes Kakaopulver, Hühnereieiweiß, Invertzuckersirup, Dextrose, Mandeln, Emulgatoren: Lecithine (enthält Soja), Mono - und Diglyceride von Speisefettsäuren; Kokosraspeln, Glukosesirup, Laktose, Salz, Backtriebmittel: Natriumcarbonate, Diphosphate, Ammoniumcarbonate; natürliches Aroma (enthält Gluten, Milch), Volleipulver, Rapsöl, Milcheiweiß, Hühnereieiweißpulver, Hühnereieigelbpulver, Karamellzuckersirup, Gewürze, Gerstenmalzextrakt, Farbstoff: Beta-Carotin. Kann andere Schalenfrüchte, Erdnüsse, Lupine und Sesam enthalten. GB Biscuit assortment with 17% chocolate, 10% milk chocolate and 6% white chocolate Ingredients: Wheat flour, sugar, vegetable fats (palm, coconut), cocoa mass, cocoa butter, pure butterfat (milk), whole milk powder, sweet whey powder (milk), skimmed milk powder, wheat starch, low fat cocoa powder, egg white, invert sugar syrup, dextrose, almonds, emulsifiers: lecithins (contain soya), mono - and diglycerides of fatty acids; rasped coconut, glucose syrup, lactose (milk), salt, raising agents: sodium carbonates, diphosphates, ammonium carbonates; natural flavour (contains gluten, milk). whole egg powder, rapeseed oil, milk protein, dried egg white, egg yolk powder, caramel sugar syrup, spices, malt extract (barley), colour: beta carotene. May contain other nuts, peanuts, lupin and sesame. FR Assortiment de biscuits avec 17% de chocolat, 10% de chocolat au lait et 6% de chocolat blanc Ingrédients: Farine de froment, sucre, graisses végétales (palme, coco), masse de cacao, beurre de cacao, graisse butyrique, lait entier en poudre, lactosérum doux en poudre, lait écrémé en poudre, amidon de blé, cacao maigre en poudre, blanc d'œufs, sirop de sucre inverti, dextrose, amandes, émulsifiants: lecithines (contient soja), mono-et diglycérides d'acides gras; noix de coco râpées, sirop de glucose, lactose, sel, poudres à lever: carbonates de sodium, diphosphates, carbonates d'ammonium; arôme naturel (contient du gluten, du lait), ceuf entier en poudre, huile de colza, protéine de lait, blancs d'œufs séché, jaune d'œuf en poudre, sirop de sucre caramélisé, épices, extrait de malt d'orge, colorant: béta-carotene. Peut contenir d'autres fruits à coque, de l'arachide, du lupin et du sésame. Sonnenkel Zartes Gebäck, verw Vollmilchschok PT Sortido de biscoito com Ingredientes: farinha de trigo leite gordo em pó, soro de la açúcar invertido, dextrose, amên glicose, lactose, sal, levedantes inteiro em pó, óleo de colza, p extracto de malte (cevada) Pode conter outros frutos d DK Blandede biscuits med Ingredienser: hvedemel, sukker vallepulver, skummetmælks emulgatorer: lecithiner (indehold natriumcarbonater, diphosphate æggehvidepulver, æggeblo Kan indeholde andre skalfre Nährwertde Déclaration nutr Información nut Declaração Energie/energy/énergie/e",peanut;milk;egg;soy;wheat_gluten;sesame;tree_nut,milk;egg;soy;wheat_gluten,,DIRECT,YES,KEEP
00000833,saint Michel galettes,Processor  Memory (RAM)  Storage  Display  Battery  Keyboard and Touchpad  Wireless Connectivity  Ports  Camera and Microphone  Speakers  Build Materials  Operating System,,,,EXCLUDE,NO,EXCLUDE
0000128884525,Coop peanut butter,"ingredients roasted peanuts (96%), vegetable oil (palm, peanut, sugar, salt, allergy advice for allergens, seeingredens in bold, not suitable for other nut allergy sufferers,",peanut,peanut,,DIRECT,YES,KEEP
0000159457878,"Celebrations, candy","Sugar, glucose syrup, cocoa butter, skimmed milk powder, cocoa mass, milk fat, peanuts lactose, palm fat, desiccated coconut wheat flour, whey powder (from milk), sunflower oil, full cream milk powder skimmed condensed milk, emulsifiers (soya lecithin, e471), barley malt extract, fat reduced cocoa, salt, humectant (glycerol), egg white powder, natural vanilla extract, raising agents (e341, e500, e501), coconut oil hydrolysed milk protein, (may contain hazelnut), milk chocolate contains milk solids 14% minimum and cocoa solids 25% minimum",peanut;milk;egg;soy;wheat_gluten;tree_nut,peanut;milk;soy;egg;wheat_gluten,tree_nut,BOTH,YES,KEEP
0000210320102,Dutch chocolate,"PROTEIN BLEND (SOY PROTEIN ISOLATE, WHEY PROTE ISOLATE, PEA PROTEIN), CRYSTALLINE FRUCTOSE, HIGH OLEIC SUNFLOWER OL MALTODEXTRIN, DUTCHED COCOA, SOY FIBER, CANE FIBER, NATURAL FLAVORS (CHOCOLATE), THICKENER (GUM ARABIC), OLIGOFRUCTOSE POWDER POTASSIUM PHOSPHATE, PRUNE POWDER, CALCIUM CARBONATE SODIUM CASEINATE, THICKENER (CELLULOSE GUM), SALT, THOBER (XANTHAN GUM), INULIN, EMULSIFIER (SOY LECITHIN), ANTICAKING AGENT (SILICON DIOXIDE), ANTIOXIDANT (NATURAL TOCOPHEROLS), MAGNESIUM OXIDE, ZINC GLUCONATE,ASCORBIC ACID (VITAMIN C), FERROUS FUMERATE (RON). POTASSIUM IODIDE, D-ALPHA-TOCOPHERYL ACETATE (MITAMINE NACINAMIDE, VITAMIN A PALMITATE, CHOLECALCIFEROL (VITAMIN D FOLIC ACID, RIBOFLAVIN (VITAMIN B2), PYRIDOXINE HYDROCHLORIDE (MITAMIN B6), THIAMIN HYDROCHLORIDE (VITAMIN B1), CYANOCOBALAMIN (MITAMIN B12). CONTAINS: SOYBEAN AND MILK. PRODUCED ON EQUIPMENT THAT ALSO PROCESSES PEANUTS, TREE NUTS, EGGS, WHEAT SESAME AND SHELLFISH FOR OUR CUSTOMERS SENSITIVE TO GLUTEN: NO GLUTEN-CONTAIN NUTRIMEAL IS PRODUCED IN A FACILITY THAT MANUFACTURES OTHER INGREDIENTS ARE USED IN THIS PRODUCT. HOWEVER DUTCH CHOCOLATE FOODS THAT DO CONTAIN GLUTEN. NUTR Du D",peanut;milk;egg;soy;wheat_gluten;sesame,milk;soy,peanut;tree_nut;egg;wheat_gluten;sesame,BOTH,YES,KEEP
0000231312345,yogurt,"milk, strawberry, gluten,  eggs, peanuts",peanut;milk;egg;wheat_gluten,peanut;milk;egg;wheat_gluten,,DIRECT,YES,KEEP
0000252828288,Chick-fil-A nuggets,"chicken (boneless, skinless chicken breast meat nuggets, salt, monosodium glutamate, sugar, spices, paprika, enriched bleached flour [with malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, salt, monosodium glutamate, nonfat milk, leavening [baking soda, sodium aluminum phosphate, monocalcium phosphate], spice, soybean oil, color [paprika], pasteurized nonfat milk, pasteurized egg, fully refined peanut oil [with dimethylpolysiloxane {an anti-foam agent}  added])",peanut;milk;egg;soy;wheat_gluten,peanut;milk;egg;soy;wheat_gluten,,DIRECT,YES,KEEP
0000281756504,"Piasten, Chocolate Assortment","Sugar, wheat starch, glucose syrup, whole soya flour, milk sugar, vegetable fat, cocoa butter, cocoa mass, whole milk powder, caramel sugar syrup, dextrose, peanuts, hazelnuts, glucose fructose syrup, vegetable oil, emulsifier: lecithins, humectant: invertase, rice flour, flavouring, orange peel, acidity regulator: citric acid, egg powder, cocoa solids: milk chocolate: cocoa solids 25% min., milk solids 14% min.; chocolate: cocoa solids 35% min.",peanut;milk;egg;soy;wheat_gluten;tree_nut,peanut;milk;egg;soy;wheat_gluten;tree_nut,,DIRECT,YES,KEEP
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,"Milk protein isolate, Whey protein cocoa crisps (whey protein isolate, whey protein concentrate, tapioca starch, Dutch cocoa powder, calcium carbonate, sunflower lecithin), Fructooligosaccharides, Glycerin, Polydextrose (3.5 g per serving of 61 g), Sugars (tapioca syrup, sugar), Maltodextrin (tapioca fibre), Modified palm kernel oil, Natural flavours, Almond butter, Whey protein isolate, Water, Sunflower oil, Chocolate liquor, Cocoa butter, Cocoa powder, Sunflower lecithin, Vegetable extract blend (broccoli, spinach, kale, squash, sweet potato, sunflower seed, cranberry, chlorella, maitake mushroom), Salt, Cream, Acacia gum, Carrageenan, Stevia leaf extract, Tocopherols, Peanuts",peanut;milk;soy;tree_nut,peanut;milk;tree_nut,,DIRECT,YES,KEEP
00004221,100% Grass-fed Whey Protein Isolate,"Grass-Fed Whey Protein Isolate, Peanut Flour, Cocoa Powder, Natural Chocolate Flavor, Salt, Stevia Extract, Sunflower Lecithin",peanut;milk;soy;wheat_gluten,peanut;milk,,DIRECT,YES,KEEP
00004902,pearl milling company maple pancake on the go,"FARBY SPRUDELND DAS WASSER COLORE LEAU DURAN BOULONNANT EYERVESCENTE, COLORANDOUA DEL BAGNO Pawning Buks mon Fonge Cire ories PARA POR at Sg ated Fat 2.5g Fat Og unsaturated Fat 3g unsaturated Fat 2.5g sterol Omg um 180mg al Carbohydrate 17g Dietary Fiber 19 Total Sugars 1g Includes Og Added Sugars Protein 2g Vitamin D Omcg Calcium 13mg Iron Omg Potassium 173mg FACTURED AND DISTRIBUTED BY: EL USA LLC SOUTH NORTHPOINT, SUITE 100, PPELL TX, 75019, USA www.takis.us BARCEL 150 Dally Value 10% 13% A COMPANY OF GRUPO BIMBO 0% 8% 6% 4% 0% The Day Vue tes you how much & nunt in a serving of food contribute to a daily diet 2,000 calories a day is used for general ution advice 0% 2% INGREDIENTS CORN FLOUR (PROCESSED WITH LIME), VEGETABLE OIL (PALM AND/OR SOYBEAN AND/OR CANOLA OLS SEASONING (MALTODEXTRIN, CITRIC ACID, SUGAR, POTASSIUM CHLORIDE, SALT, MONOSODIUM GLUTAMATE, HOROLYZED SOYBEAN PROTEIN, NATURAL AND ARTIFICIAL BARS, HYDROLYZED YEAST, SOYBEAN OIL, ONION POWDER, LAKE, SODIUM BICARBONATE, CHILI PEPPER (CHILE). AINOSINATE, DISODIUM GUANYLATE, TBHQ RESERVATIVEN CONTAINS SOY MADE IN A FACILITY THAT MAY ALSO USE MILK, EGG, HEAT AND PEANUTS 0% 4% smartabel Scan here for more food information or call 1-800-432-8266 CO●●●●●●●●● OO Takis Takis OTE FOLLOW US ON o Y TAKIS USA Q TERRACYCLE GUARANTEED FRESH UNTIL PRINTED DATE Questions or comments 1-800-354-3372 Weekdays 8:00 am to 8:00 pm EST essed Please provide pro name, bag size d price and numbers found on the bag for a 57528 04811&quot; 2 BL.A.057018822 d nong",peanut;milk;egg;soy;wheat_gluten,,,EXCLUDE,NO,EXCLUDE
0000600020002,Orange drink mix,"Hydrolyzed gelatin, whey protein concentrate (milk), fructooligosaccharide, citric acid, natural flavors, color (turmeric extract, beet juice color, beta-carotene), orange juice powder (orange juice solids, maltodextrin), potassium citrate monohydrate, silicon dioxide (anti-caking agent), soy lecithin, sucralose (non-nutritive sweetener). Manufactured in a facility that also processes wheat, eggs, peanuts, and tree nuts.",peanut;milk;egg;soy;wheat_gluten,milk;soy,wheat_gluten;egg;peanut;tree_nut,BOTH,YES,KEEP
0000609154005,Madeline chocolate advent,"milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin - an emulsifier, vanillin - an artificial flavor) contains: milk, soy manufactured on equipment that processes peanuts and tree nuts (almonds, pecans, cashews and hazelnuts). d",peanut;milk;soy;tree_nut,milk;soy,peanut;tree_nut,BOTH,YES,KEEP
0000609983810,Hatchers peanut butter filled milk chocolate,"Milk chocolate (sugar, milk, cocoa butter, chocolate, soy lecithin-an emulsifier, vanilla-an artificial flavor). peanut butter center: peanut butter (peanuts, salt, partially hydrogenated palm oil), sugar, palm kernel oil, partially defatted peanut flour, nonfat milk, partially hydrogenated palm oil, salt, soy lecithin (an emulsifier), tbhq and citric acid to protect freshness).",peanut;milk;soy;wheat_gluten,peanut;milk;soy,,DIRECT,YES,KEEP
