product_code,product_name,ingredient_text,svm_predicted,p_haf_confirmed,p_haf_potential,common_labels,svm_only,kg_only,svm_potential_overlap,agreement,disagreement_type,direct_matches,precautionary_matches,special_threshold_matches
5400101093454,FQC Tartare de saumon sauce aux herbes,"Saumon Atlantique (Salmo salar, élevé en Norvège) 82%, sauce à la ciboulette et à l'aneth 12% (huile de colza, ciboulette 0,7%, jaunes d'œufs, aneth 0,4%, amidon, vinaigre, moutarde (eau, graines de moutarde, vinaigre, sel, sucre, curcuma), sel, sauce soja (eau, graines de soja, blé, sel), sucre, arôme naturel, colorant : E160a(i), épaississants : E412 – E415, conservateurs : E202 – E211), huile de colza, jus de citron, sel marin. Peut contenir des traces de céleri, crustacés, lait, mollusques et fruits à coque.",egg;fish;mustard;soy,egg;fish;mustard;soy;wheat_gluten,celery;milk;tree_nut,egg;fish;mustard;soy,,wheat_gluten,,disagreement,kg_only_prediction,ble -> wheat_gluten;graines de moutarde -> mustard;moutarde -> mustard;oeufs -> egg;saumon -> fish;soja -> soy,celeri -> celery;fruits a coque -> tree_nut;lait -> milk,
02713445,graines de sésame,"Graines de SESAME*. *Issues de l'agriculture biologique. Risques de traces de gluten, fruits à coque, lait, soja. oeuf et arachides. CONSEILS D'UTILISATION Idéales pour agrémenter vos salades, pâtes à pains, biscuits...  VALEURS NUTRITIONNELLES POUR 100G :  Energie 573 Kcal  Matières grasses 49.6 g dont acides gras saturés 6.9 g Glucides 23.4 g dont sucres 0.3 g Fibres 11.8 g Protéines 17.7 g Sel 0.03 g",peanut;sesame,egg;peanut;sesame,milk;soy;tree_nut;wheat_gluten,peanut;sesame,,egg,,disagreement,kg_only_prediction,arachides -> peanut;graines de sesame -> sesame;oeuf -> egg;sesame -> sesame,fruits a coque -> tree_nut;gluten -> wheat_gluten;lait -> milk;soja -> soy,
4038413730302,Schuhbecks Rinderroulade mit Rotkohl,"Roulade 30% (Rindfleisch, Zwiebeln, Gewürzgurken (Branntweinessig, Süßstoff Saccharin), Schweinebauchspeck (Schweinefleisch, Kochsalz), Karotten, Gewürze (enthalten _SENF_), jodiertes Speisesalz (Speisesalz, Kaliumjodat), Würze), Rotkohl, Kartoffeln, Apfel, _BUTTER_, modifizierte Stärke, Rotwein (enthält Sulfit), Speisesalz, Zucker, Gewürze (enthalten _SENF_, _SELLERIE_), Kräuter, Maltodextrin, Glucosesirup, Karamellzucker, Verdickungsmittel: Xanthan, Säuerungsmittel: Citronensäure, Säureregulator: Natriumcarbonat, Natriumacetat; Antioxidationsmittel: Ascorbinsäure",celery;mustard,celery;milk;mustard,,celery;mustard,,milk,,disagreement,kg_only_prediction,butter -> milk;sellerie -> celery;senf -> mustard,,sulfit -> sulphites
8718309920784,Cajun Hunter,"arachides*j graines de courge*, miel*, noix de cajou* 10%, aman( 8,75%, mélange dépices* 3,75% (paprika*, sel, ail*, poivre noir*, oignon*, origaf, thym*, piment cayenne*, piment oiseau*. NL Inqredlënten: pinda's*, pompoenpitten*, hcning?; cashewnoten* 1 amandelen* 8,75%, kruiden mir 3,75% (paprika*, zout, knoflook*, zwarte ui*, oregano*, ti cayennepeper*) bird's eye",tree_nut,peanut;tree_nut,,tree_nut,,peanut,,disagreement,kg_only_prediction,arachides -> peanut;noix -> tree_nut,,
0200155525056,Schwäbischer Linseneintopf,"Wasser, Linsen*(17%), Gemüse - mischung*(Karotten*, Lauch*, SELLERIE* - 9%), Kartoffeln*, Sonnenblumenöl*, SENF mittelscharf*, Petersilie*, Meersalz, Knoblauch*, Lorbeer*, Pfeffer* *aus kontrolliert biologischer Landwirtschaft. Kann Spuren von Gluten, Nüssen und Soja enthalten. Ingrédients: eau, lentilles (17%), assortiment de légumes*(carottes*, poireaux*, CÉLERI* - 9%), pommes de terre* huile de tournesol*, MOUTARDE forte*, persil, sel de mer, ail*, feuilles de laurier*, poivre* issu de l'agriculture biologique; Peut contenir des traces de gluten, de noix et de soja. FR + DE-ÖKO-037 BIO nach EG-Oko-Verordnung EU-/Nicht-EU-Landwirtschaft Agriculture de l'UE/non UE Durchsch Valeurs Energie Fett davon g Dont Kohlen davon Ze Elweiß P OPE Salz/Sa",celery,celery;mustard,soy;tree_nut;wheat_gluten,celery,,mustard,,disagreement,kg_only_prediction,celeri -> celery;moutarde -> mustard;sellerie -> celery;senf -> mustard,gluten -> wheat_gluten;noix -> tree_nut;soja -> soy,
0217093031426,Piemontaise au jambon,"Pomme de terre (53%), sauce (huile de colza, oeufs, eau, graines de moutarde, vinaigre d'alcool, sel, épices, acidifiant :E330, conservateurs: E222, E224 (sulfites)), jambon de porc cuit (13%) (jambon de porc, eau, sel, dextrose (blé), lactose, maltodextrine, saccharose, sirop de glucose deshydraté, conservateur: E250, exhausteur de goût: E621, hydrolysat végétal poudre, antioxydants: E301, E316, stabilisants : E450, E451, phosphate, arômes), cornichons (vinaigre, oignons, sel, graines de moutarde, arômes (sulfites)), petits pois, moutarde de Dijon (eau, graines de moutarde, vinaigre d'alcool, sel, acidifiant :E330, conservateur: E224 ( sulfites)), sel, épices, affermissant : E509",egg;mustard;wheat_gluten,egg;milk;mustard;wheat_gluten,,egg;mustard;wheat_gluten,,milk,,disagreement,kg_only_prediction,ble -> wheat_gluten;graines de moutarde -> mustard;lactose -> milk;moutarde -> mustard;oeufs -> egg,,sulfites -> sulphites
3760028712992,Terrine aux myrtilles,"Sucre, sirop de glucose, acide citrique, arôme naturel, jus concentré de misin. de lait et fruits à coque Fabriqué en France.",tree_nut,milk;tree_nut,,tree_nut,,milk,,disagreement,kg_only_prediction,fruits a coque -> tree_nut;lait -> milk,,
4061461874728,Lebkuchen Assortment,"Wheat Flour, Glucose-Fructose Syrup, Sugar, Dark Chocolate (Sugar, Cocoa Mass*, Cocoa Butter*, Emulsifier: Lecithins (Soya)), Water, Sugar Decorations (Sugar, Wheat Starch, Glucose Syrup, Spinach Powder, Concentrated Beetroot Juice, Safflower Extract), Ground Spices (Ginger, Cinnamon, Anise, Coriander, Cloves, Allspice, Star Anise), Potato Starch, Raising Agents: Potassium Carbonates, Diphosphates, Sodium Carbonates, Ammonium Carbonates; Caramelised Sugar Syrup, Salt, Pork Gelatine, Concentrated Beetroot Juice, Acid: Lactic Acid. May also contain almonds, cashews, hazelnuts, walnuts, peanuts, egg, lupin, milk and sesame.",egg;milk;peanut;sesame;tree_nut;wheat_gluten,egg;lupin;milk;peanut;sesame;tree_nut;wheat_gluten,,egg;milk;peanut;sesame;tree_nut;wheat_gluten,,lupin,,disagreement,kg_only_prediction,almonds -> tree_nut;butter -> milk;cashews -> tree_nut;egg -> egg;hazelnuts -> tree_nut;lupin -> lupin;milk -> milk;peanuts -> peanut;sesame -> sesame;walnuts -> tree_nut;wheat -> wheat_gluten;wheat flour -> wheat_gluten;wheat starch -> wheat_gluten,,
8000139936104,Trofie,"PASTA FRESCA/FRISCHTEIGWAREN / PÂTES FRAÎCHES INGREDIENTI: Semola di grano duro, acqua. Può contenere soia, uova e senape. - ZUTATEN: Hartweizengriess, Wasser. Kann - INGRÉDIENTS: Semoule de blé Soja, Eier und Senf enthalten. dueau. Peut contenir soja, ceufs et moutarde. Produto in Italia per/Hergestellt in Italien für / Produit en Italie pour: Pastificio Lucio Garofalo S.p.A. - Via dei Pastai, 42 054 Grannano (NA)-Italy",mustard;soy;wheat_gluten,egg;mustard;soy;wheat_gluten,,mustard;soy;wheat_gluten,,egg,,disagreement,kg_only_prediction,ble -> wheat_gluten;eier -> egg;semoule de ble -> wheat_gluten;senf -> mustard;soja -> soy,moutarde -> mustard;soja -> soy,
0737094215286,"The fresh market, season's creetings","Roasted, no salt cashews (cashews, canola oil), roasted, no salt pumpkin seeds (pumpkin seeds, canola oil), spicy sticks (yellow corn masa, soybean oil, hot sauce seasoning [dextrose, salt, whey powder, spice and coloring (contains paprika), maltodextrin, monosodium glutamate, citric acid, onion powder, hydrolyzed corn, wheat, and soy protein, red #40 lake, sugar, garlic powder, hot sauce (aged cayenne red peppers, salt vinegar, garlic), natural flavoring, lactic acid, soybean oil, spice and herb, caramel color]), roasted, no salt almonds (blanched almonds, canola oil), honey sesame sticks (unbleached wheat flour [contains malted barley flour as a natural enzyme additive], soybean oil, sesame seeds, honey coating [sucrose, wheat starch, honey], bulgur wheat, tack blend [maltodextrin, xanthan gum], salt, beet powder, turmeric).",sesame;soy;tree_nut;wheat_gluten,milk;sesame;soy;tree_nut;wheat_gluten,,sesame;soy;tree_nut;wheat_gluten,,milk,,disagreement,kg_only_prediction,almonds -> tree_nut;barley -> wheat_gluten;barley flour -> wheat_gluten;cashews -> tree_nut;sesame -> sesame;sesame seeds -> sesame;soy -> soy;soy protein -> soy;soybean -> soy;wheat -> wheat_gluten;wheat flour -> wheat_gluten;wheat starch -> wheat_gluten;whey -> milk,,
8855619000567,Tom Yum Chili Paste,"Shallot, Dried Chili, Vegetable Oil, Garlic, Palm Sugar, _Fish_ Sauce, Dried _Shrimp_, Tamarind Paste, Salt, Citric Acid",fish,crustaceans;fish,,fish,,crustaceans,,disagreement,kg_only_prediction,fish -> fish;shrimp -> crustaceans,,
5400113761976,Coquilles Saint-Jacques,"Noix de Saint-Jacques certifiées MSC (Pecten spp.) (mollusques) 30%, eau, fromage 14% (lait entier, amidon de pomme de terre, sel, culture de démarrage, présure microbienne), mélange de matières grasses [huile de palme non hydrogénée, huile de tournesol non hydrogénée, eau, matière grasse laitière (lait), concentré de jus de citron vert, arome naturel), légumes (céleri-rove (céleri), carotte, poireau, céleri oignon), crevettes 4,6% (crevettes de la mer du Nord certifiées MSC (Pandalus borealis) (crustacés) 98%, sell, lait en poudre, farine de blé, vin blanc, champignon (Agaricus bisporus), bouillon de légumes en poudre (maltodextrine, sel, extrait de levure, arôme, sucre, huile de tournesol non hydrogénée, oignon, racine de liveche, ail, curcuma, jus de carotte), gélatine de boeuf, fumet de poisson [maltodextrine, sel, cabillaud certifié MSC (Gadus morhua) (poisson), amidons (tapioca, pomme de terre), oignon, sucre, huile de mais non hydrogènée, panais, graines de fenouil, ail, racine de liveche, extrait de levure, jus concentré de champignon (Agaricus bisporus) extrait de vin blanc, arômel, herbes et épices, fumet de crevette leau, carcasses de crevettes (têtes de crevette (Crangon crangon) (crustacés), sel, conservateur (acide benzoique), correcteur d'acidité (acide citrique)) carotte, céleri, oignon, vin blanc, sel, épices].",celery;crustaceans;milk;wheat_gluten,celery;crustaceans;milk;tree_nut;wheat_gluten,,celery;crustaceans;milk;wheat_gluten,,tree_nut,,disagreement,kg_only_prediction,ble -> wheat_gluten;celeri -> celery;crevette -> crustaceans;crevettes -> crustaceans;farine de ble -> wheat_gluten;fromage -> milk;lait -> milk;lait entier -> milk;noix -> tree_nut,,
3660014114154,Parmentier de poisson provencal,"Eau, (don en poudre, LAITS entier et écremé en poudre, huile de tounesoi, metodextrine et protéines de IAIV: colcrent : riboflavine), tomate \dont jus de tomate. ac01ant : acide citrique), hl!lle d'olive, LAIT écrémé en poudre tomate deshydra:ée, amidon modifié sel, saccharose, epices, ma todextrhe arômes, matière crasse vécétale (tournesol), épaississant: E412, béchamel deéudttee (LACTOSERÜI/: amidon modifié, ;arine d? BLE, sel, épices , fécule modifiee sel, pesil, basilic, arôme naturel. eventuelles de trustace, mollusque, eut, arachide, soja, fruit à coque celèfi, nottarde, sésame lupin.",lupin;milk;sesame;soy;wheat_gluten,lupin;milk;peanut;sesame;soy;wheat_gluten,,lupin;milk;sesame;soy;wheat_gluten,,peanut,,disagreement,kg_only_prediction,arachide -> peanut;ble -> wheat_gluten;lait -> milk;lait ecreme -> milk;lupin -> lupin;sesame -> sesame;soja -> soy,,
3560071470098,Fond saveur volaille,"_Ingrédients de la préparation déshydratée_ : Fécule de pomme de terre, maltodextrine, sel, sucre, viande de poulet 6%, arômes 3,6%, oignon, arômes naturels 3,2%, graisse de poulet 2,1%, _céleri_-rave, curcuma, antioxydant : extraits de romarin. Peut contenir des traces de céréales contenant du gluten, crustacés, œufs, poissons, soja, lait, mollusques.",,celery,egg;milk;soy;wheat_gluten,,,celery,,disagreement,kg_only_prediction,celeri -> celery;celeri rave -> celery,gluten -> wheat_gluten;lait -> milk;oeufs -> egg;soja -> soy,
3276770027555,Oeufs de Truite,"Ing€ents : Œufs de TRUITE 97%, sel, de céleri, céréales contenant du g!un fruits à coque lait, lupin, mollusque, Œut searne soja, sulfites.",celery;egg;lupin;soy;tree_nut,celery;egg;lupin;milk;soy;tree_nut,,celery;egg;lupin;soy;tree_nut,,milk,,disagreement,kg_only_prediction,celeri -> celery;fruits a coque -> tree_nut;lait -> milk;lupin -> lupin;oeufs -> egg;soja -> soy,,sulfites -> sulphites
3229820783024,Mian Tiao saveur crevettes - 85 g - Thien Shan,"Nouilles (79g) : farine de blé 64%, huile de riz, amidon de tapioca, sel, émulsifiant : carboxyméthylcellulose de sodium, régulateur d'acidité : polyphosphates, poudre à lever : carbonate acide de sodium. Assaisonnement saveur crevette (6g) : sel, sucre, poudre de sauce soja (soja, farine de blé), poudre de crevette 1%, ail en poudre, poivre en poudre, exhausteur de goût : glutamate monosodique, sirop de glucose, huile de riz, amidon de maïs, oignons déshydratés, exhausteur de goût : glycine et son sel de sodium, caséinate de sodium, exhausteurs de goût : inosinate disodique - guanylate disodique, anti-agglomérant : dioxyde de silicium, émulsifiant : mono - et diglycérides d'acides gras, stabilisant: polyphosphates.",crustaceans;soy;wheat_gluten,crustaceans;milk;soy;wheat_gluten,,crustaceans;soy;wheat_gluten,,milk,,disagreement,kg_only_prediction,ble -> wheat_gluten;caseinate -> milk;crevette -> crustaceans;farine de ble -> wheat_gluten;soja -> soy,,
