product_code,product_name,ingredient_text,svm_predicted,p_haf_confirmed,p_haf_potential,common_labels,svm_only,kg_only,svm_potential_overlap,agreement,disagreement_type,direct_matches,precautionary_matches,special_threshold_matches
5400101093454,FQC Tartare de saumon sauce aux herbes,"Saumon Atlantique (Salmo salar, élevé en Norvège) 82%, sauce à la ciboulette et à l'aneth 12% (huile de colza, ciboulette 0,7%, jaunes d'œufs, aneth 0,4%, amidon, vinaigre, moutarde (eau, graines de moutarde, vinaigre, sel, sucre, curcuma), sel, sauce soja (eau, graines de soja, blé, sel), sucre, arôme naturel, colorant : E160a(i), épaississants : E412 – E415, conservateurs : E202 – E211), huile de colza, jus de citron, sel marin. Peut contenir des traces de céleri, crustacés, lait, mollusques et fruits à coque.",egg;fish;mustard;soy,egg;fish;mustard;soy;wheat_gluten,celery;milk;tree_nut,egg;fish;mustard;soy,,wheat_gluten,,disagreement,kg_only_prediction,ble -> wheat_gluten;graines de moutarde -> mustard;moutarde -> mustard;oeufs -> egg;saumon -> fish;soja -> soy,celeri -> celery;fruits a coque -> tree_nut;lait -> milk,
5708368003033,Hummus with chili,"Kogte kik - ærter (65%), vand, tahini (sesampasta), tomat - pasta, paprika, løg, per - sille, hvidløg, eddike, salt, surhedsregulerende mid - del: citronsyre, konserve - ringsmiddel: natriumben - zoat og kaliumsorbat",sesame,sesame,,sesame,,,,exact_agreement,,tahini -> sesame,,
2209688007266,Poulet fermier de l’orleanais,Poulet larc famlep Labei Rouge. PRêt à c,,,,,,,,exact_agreement,,,,
0797945518027,"Los Chilenos De Nuevo Mexico, Pozole Spice Blend","Chile caribe, onion, garlic, oregano and salt",,,,,,,,exact_agreement,,,,
4026285010349,Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt,,,,,,,,exact_agreement,,,,
0797734476743,"Mama o's premium kimchi, premium daikon kimchi","Daikon radish, red pepper flakes, garlic ginger, scallions, cilantro, sugar, salt, fish sauce.",fish,fish,,fish,,,,exact_agreement,,fish -> fish,,
8906010501419,poprings,"Corn Meal (68%), Edible Vegetable Oil (Palmolein), Sugar, iodized Salt, Maltodextrin, Cheese Powder (0.6%), Milk Solids, Soya Powder, Stabilizer (INS 1701) Flavour Enhancer (INS 627, INS 631), Acidity Regulator (INS 330), Anticaking Agent (INS 551).",milk,milk,,milk,,,,exact_agreement,,milk -> milk,,
8016857030611,Tagliatelles,"fraiches de semoule de gram dur a t'œut. Ingredtents semoule de GRAIN dur • ŒUFS - 18%,eau • produit biologique",egg,egg,,egg,,,,exact_agreement,,oeufs -> egg,,
0708820067509,"Lightly salted with sea salt cashews halves & pieces-roasted, lightly salted, sea salt","Cashews, vegetable oil (peanut, cottonseed, soybean and/or sunflower seed), sea salt.",peanut;soy;tree_nut,peanut;soy;tree_nut,,peanut;soy;tree_nut,,,,exact_agreement,,cashews -> tree_nut;peanut -> peanut;soybean -> soy,,
0846548086539,Probiotic Lemonberry Yoggies,"Apple puree, apple juice concentrate, strawberry puree, raspberry puree, blueberry puree, lemon juice concentrate, elderberry juice concentrate, soluble corn fiber, citrus fiber, citrus pectin, palm fat (RSPO-SG), natural blueberry flavor WONF, natural lemon lime flavor WONF, sugar, palm kernel oil, nonfat dry milk, yogurt powder (cultured whey protein concentrate and cultured skim milk), Greek yogurt powder (nonfat milk solids, culture, lactic acid, natural flavor), soy lecithin (emulsifier), lactic acid, natural flavor, salt, citric acid, microencapsulated probiotic Lactobacillus rhamnosus GG",milk;soy,milk;soy,,milk;soy,,,,exact_agreement,,milk -> milk;skim milk -> milk;soy -> soy;soy lecithin -> soy;whey -> milk;whey protein -> milk,,
0850024069206,Honey & Almond granola,"Whole grain rolled oats, sugar, honey, vegetable oil, sliced almonds, cinnamon powder",tree_nut;wheat_gluten,tree_nut;wheat_gluten,,tree_nut;wheat_gluten,,,,exact_agreement,,almonds -> tree_nut;oats -> wheat_gluten,,
8906127551086,Alpino Super Oats Chocolate,"Rolled Oats (61%), Unsweetened Peanut butter (22%), Textured Soya Protein (9%), Cocoa Powder, Nuts & Seed Mix (Almond, raisin, Sunflower Seeds), Monk Fruit Extract, Rosemary extract.",milk;peanut;tree_nut;wheat_gluten,milk;peanut;tree_nut;wheat_gluten,,milk;peanut;tree_nut;wheat_gluten,,,,exact_agreement,,almond -> tree_nut;butter -> milk;oats -> wheat_gluten;peanut -> peanut;peanut butter -> peanut,,
00388863,Slow cooked pulled gammon hock,"Mustard Mash (50%) ( Potato, Water, Half Cream (5%) (Cows' Milk), Wholegrain Mustard (1%) (Water, Mustard Seed, Spirit Vinegar, Salt, Spices, White Wine Vinegar), Whey Powder (Cows' Milk), Dijon Mustard (0.5%) (Water, Mustard Seed, Spirit Vinegar, Salt), Palm Oil, Skimmed Cows' Milk Powder, Mustard Powder, Whey Protein Concentrate (Cows' Milk), Salt), Creamy Cider Sauce (34%) (Water, Onion, Half Cream (22%) (Cows' Milk), Cider (11%), White Wine (3.5%), Butter (Cows' Milk), Garlic Purée, Cornflour, Rapeseed Oil, Dijon Mustard (0.5%) (Water, Mustard Seed, Spirit Vinegar, Salt), Parsley, Beef Stock (Yeast Extract, Water, Sugar, Beef Fat, Sea Salt, Caramelised Sugar, Beef Extract, Mushroom Extract, Red Wine Concentrate, Cornflour, Natural Flavouring, Black Pepper, Aniseed), Whey Powder (Cows' Milk), Palm Oil, Skimmed Cows' Milk Powder, Thyme, Whey Protein Concentrate (Cows' Milk), Black Pepper), Gammon Hock (16%) (British Pork, Salt, Stabilisers: Tetrasodium Diphosphate, Sodium Triphosphate, Disodium Diphosphate; Antioxidant: Sodium Ascorbate; Preservative: Sodium Nitrite).",milk;mustard,milk;mustard,,milk;mustard,,,,exact_agreement,,butter -> milk;cream -> milk;milk -> milk;milk powder -> milk;mustard -> mustard;mustard seed -> mustard;whey -> milk;whey protein -> milk,,
3439496603506,Pain de Mie Complet,"Farine complète de blé 50,9 %, eau, _gluten de blé_, sucre, sel, huile de colza, levure, farine de fèves, émulsifiants: E471 et E481, arôme naturel (contient alcool), conservateur propionate de calcium, correcteur d'acidité: glucono delta lactone, gélifiant: gomme guar, farine de _blé_, agent de traitement de la farine: acide ascorbique.",wheat_gluten,wheat_gluten,,wheat_gluten,,,,exact_agreement,,ble -> wheat_gluten;farine de ble -> wheat_gluten;gluten -> wheat_gluten,,
3596710133291,Noix de cajou grillées et salées,"Noix de cajou (_fruits à coque_) 96%, huile de tournesol, sel 1%.",tree_nut,tree_nut,,tree_nut,,,,exact_agreement,,fruits a coque -> tree_nut;noix -> tree_nut,,
0893501814104,Boneless & Skinless Swai Fillets,"Swai (pangasius hypophthalmus), sodium tripolyphosphate (to retain moisture).",,,,,,,,exact_agreement,,,,
2010087499992,Chocolat au lait de noisettes,"sucre, pâte de cacao, beurre de cacao, POUDRE DE LAIT ENTIER, NOISETTE, émulsifiant LÉCITHINE DE SOJA, arôme naturel de vanille.",milk;soy;tree_nut,milk;soy;tree_nut,,milk;soy;tree_nut,,,,exact_agreement,,beurre -> milk;lait -> milk;lait entier -> milk;lecithine de soja -> soy;noisette -> tree_nut;poudre de lait -> milk;soja -> soy,,
7025110141996,falunkorv,"Kjøtt* 56 % (svin 53 %, storfe 3 %), vann vegetabilsk stivelse (tapioka, potet), konserveringsmiddel (E 326, E 250), salt, glukose (mais), vegetabilsk fnber (gulrot, potet, bambus), svineprotein, krydder (løk, pepper, ingefær muskat), stabilisator (E 450, E 451), antioksidant (E 301).",,,,,,,,exact_agreement,,,,
0077034089226,Sweet 'N Salty Mix Trail Mix,"peanuts (peanuts, peanut and/or sunflower oil, salt), raisins, chocolate candies (confectionary coating [sugar, hydrogenated palm kernel oil, cocoa powder, whey powder, nonfat milk powder, soy lecithin {an emulsifier}, vanilla], sugar, artificial coloring [includes yellow 6 lake, yellow 6, yellow 5 lake, blue 1 lake, red 40 lake, blue 2 lake], gum arabic, corn syrup, confectioner's glaze), sunflower kernels (sunflower kernels, peanut and/or sunflower oil, salt),",milk;peanut;soy,milk;peanut;soy,,milk;peanut;soy,,,,exact_agreement,,milk -> milk;milk powder -> milk;peanut -> peanut;peanuts -> peanut;soy -> soy;soy lecithin -> soy;whey -> milk,,
0040822341752,Roasted red pepper hummus,"Cooked chickpeas (water, chickpeas), water, tahini (ground sesame), soybean oil, red bell pepper, garlic, salt, citric acid, potassium sorbate to maintain freshness, natural flavors.",sesame;soy,sesame;soy,,sesame;soy,,,,exact_agreement,,sesame -> sesame;soybean -> soy;tahini -> sesame,,
0042222081191,Turkey Breast Uncured Franks,"Turkey breast, turkey fat, water, salt, vinegar, contains 2% or less seasoning, (sugar, yeast extract, salt, dried garlic, natural flavor), cultured celery powder, cherry powder, cane sugar, natural smoke flavoring.",celery,celery,,celery,,,,exact_agreement,,celery -> celery,,
0085239051702,Buttermilk ranch romaine lettuce,"Buttermilk ranch dressing (canola oil, cultured low fat buttermilk, water, sour cream [cultured nonfat milk, cream, egg yolks, distilled vinegar, sugar, contains less than 2% of salt, spices, dehydrated garlic, lactic acid, corn starch, dehydrated onion, xanthan gum, guar gum, natural flavor), romaine lettuce, broccoli stalk, red cabbage, savoy cabbage, green onion, carrot, uncured bacon - no nitrites or nitrates added except those naturally found in sea salt and cultured celery juice (pork, water, sea salt, sugar, natural smoke flavor, cultured celery juice), cheddar cheese (cheddar cheese [pasteurized milk, cheese culture, salt, enzymes, annatto {vegetable color}], powdered cellulose [to prevent caking], potato starch [to prevent caking]).",celery;egg;milk,celery;egg;milk,,celery;egg;milk,,,,exact_agreement,,celery -> celery;cream -> milk;egg -> egg;milk -> milk,,
8422107004859,Tartinable de la mer,"27 % chair de poisson, eau, tomate, oignon, 8 % fruits de mer (moule [mollusque), crevette et extrait de crabe [crustacé]), huile de toumesol, poivron rouge, amidon modifié, huile d'olive, ail, amidon, albumine et jaune d'oeuf, citron jus, épices, arômes (poissons, crustacés), protéines végétales, brandy, sel, sucre, exhausteur de goût (E 621), stabilisants (sorbitols, polyphosphates, gomme xanthane, alginate de sodium), colorant (extrait de paprika).",crustaceans;egg;molluscs,crustaceans;egg;molluscs,,crustaceans;egg;molluscs,,,,exact_agreement,,crabe -> crustaceans;crevette -> crustaceans;jaune d oeuf -> egg;moule -> molluscs;oeuf -> egg,,
5099874382263,Nut & Seed Granola,"Gluten Free Oats (60%), Golden Syrup, Nuts (10%) (Almonds, Cashew Nuts, Hazelnuts], Sunflower), Vanilla Seasoning (Dextrose, Sugar, Rapeseed Oil, Coconut, Seeds (3%) [Pumpkin, Natural Vanilla Flavouring).",tree_nut;wheat_gluten,tree_nut;wheat_gluten,,tree_nut;wheat_gluten,,,,exact_agreement,,almonds -> tree_nut;cashew -> tree_nut;gluten -> wheat_gluten;hazelnuts -> tree_nut;oats -> wheat_gluten,,
3596710471676,Roulade au jambon,"Jambon de porc 64% , viande de porc 23%, eau, gras de porc, sel, dextrose, épices (contient MOUTARDE), extraits d'épices, stabilisant: diphosphates antioxydant: acide ascorbique conservateur: nitrite de sodium.Élaboré à partir de viande de porc d'origine UE. Traces éventuelles de gluten, oeuf, soja, lait, fruits à coques, céleri, sésame",mustard,mustard,celery;egg;milk;sesame;soy;wheat_gluten,mustard,,,,exact_agreement,,moutarde -> mustard,celeri -> celery;gluten -> wheat_gluten;lait -> milk;oeuf -> egg;sesame -> sesame;soja -> soy,
0018627012344,Kashi Heritage Sides 7 Whole Grain Pilaf 19.5oz,"Kashi Seven Whole Grains & Sesame blend (whole: oats, brown rice, rye, hard red wheat, triticale, barley, buckwheat, sesame seeds).",sesame;wheat_gluten,sesame;wheat_gluten,,sesame;wheat_gluten,,,,exact_agreement,,barley -> wheat_gluten;oats -> wheat_gluten;rye -> wheat_gluten;sesame -> sesame;sesame seeds -> sesame;wheat -> wheat_gluten,,
