code,product_name,confirmed,potential,direct_matches,precautionary_matches,special_threshold
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,milk;peanut;soy,wheat_gluten,arachide -> peanut;beurre -> milk;caseinate -> milk;lactoserum -> milk;lait -> milk;lecithine de soja -> soy;pate d arachide -> peanut;soja -> soy,gluten -> wheat_gluten,
0001003676718,,wheat_gluten,egg;milk;peanut;sesame;soy;tree_nut,wheat -> wheat_gluten;wheat flour -> wheat_gluten,eggs -> egg;hazelnuts -> tree_nut;milk -> milk;peanuts -> peanut;pistachios -> tree_nut;sesame -> sesame;sesame seeds -> sesame;soy -> soy;soy lecithin -> soy,sulphites -> sulphites
00000049,Mre Lite,egg;fish;milk,,albumin -> egg;egg -> egg;egg albumin -> egg;milk -> milk;milk powder -> milk;salmon -> fish,,
00000037,Sea Moss Gummies,,,,,
0000200008423,Thai sweet chilli sensations,soy;wheat_gluten,celery;milk;mustard,soya -> soy;soya sauce -> soy;wheat -> wheat_gluten,barley -> wheat_gluten;celery -> celery;gluten -> wheat_gluten;milk -> milk;mustard -> mustard,
00001422,Le Jambon de nos Régions,milk,soy,cheese -> milk;cream -> milk;milk -> milk;whey -> milk,soybeans -> soy,
0001005400031,cocoa powder,,milk;peanut;soy;tree_nut;wheat_gluten,,milk -> milk;peanuts -> peanut;soy -> soy;tree nuts -> tree_nut;wheat -> wheat_gluten,
0000987500001,Tofu Nature Bio,,mustard;peanut;sesame;soy;wheat_gluten,,cacahuetes -> peanut;gluten -> wheat_gluten;graines de moutarde -> mustard;graines de sesame -> sesame;moutarde -> mustard;sesame -> sesame;soja -> soy,
00000104,30 Panach' Fruits,egg;milk;wheat_gluten,,ble -> wheat_gluten;farine de ble -> wheat_gluten;lait -> milk;lait ecreme -> milk;oeufs -> egg,,
00012782,Bagel sésame 3 fromages,milk;sesame;soy;wheat_gluten,,beurre -> milk;ble -> wheat_gluten;creme -> milk;farine de ble -> wheat_gluten;farine de soja -> soy;fromage -> milk;gluten -> wheat_gluten;graines de sesame -> sesame;lait -> milk;lait ecreme -> milk;malt -> wheat_gluten;sesame -> sesame;soja -> soy,,
0000112301878,pot au feu de légumes aux aromates,celery,egg;milk;wheat_gluten,celeri -> celery,ble -> wheat_gluten;celeri -> celery;lait -> milk;oeuf -> egg,
0001121325632,"Cashews, salted",peanut;tree_nut,,cashews -> tree_nut;peanut -> peanut,,
0001116103494,Whole roasted cashews,peanut;soy;tree_nut,,cashews -> tree_nut;peanut -> peanut;soybean -> soy,,
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,milk;peanut;tree_nut,,almond -> tree_nut;butter -> milk;cream -> milk;milk -> milk;milk protein -> milk;peanuts -> peanut;whey -> milk;whey protein -> milk,,
00001403,Sablés Coco Lait,egg;milk;soy;tree_nut;wheat_gluten,sesame,beurre -> milk;ble -> wheat_gluten;farine de ble -> wheat_gluten;lait -> milk;noix -> tree_nut;oeufs -> egg;soja -> soy,ble -> wheat_gluten;graines de sesame -> sesame;lait -> milk;lait ecreme -> milk;malt -> wheat_gluten;orge -> wheat_gluten;sesame -> sesame;soja -> soy,
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,milk;tree_nut,,amande -> tree_nut;lait -> milk;noisette -> tree_nut,beurre -> milk;lait -> milk,
0000252828288,Chick-fil-A nuggets,egg;milk;peanut;soy;wheat_gluten,,barley -> wheat_gluten;barley flour -> wheat_gluten;egg -> egg;milk -> milk;peanut -> peanut;peanut oil -> peanut;soybean -> soy,,
0000105748562,,,egg;wheat_gluten,,durum wheat -> wheat_gluten;egg -> egg;semolina -> wheat_gluten;wheat -> wheat_gluten,
0001000657163,Tortellini Ricotta Epinard,egg;milk;tree_nut;wheat_gluten,,beurre -> milk;ble -> wheat_gluten;farine de ble -> wheat_gluten;fromage -> milk;lactose -> milk;lactoserum -> milk;lait -> milk;noix -> tree_nut;oeuf -> egg,,
00000024,Croccante con pistacchi e miele,peanut;sesame;tree_nut;wheat_gluten,,ble -> wheat_gluten;cacahuetes -> peanut;gluten -> wheat_gluten;noix -> tree_nut;sesame -> sesame,,
00000224,madeleine Bijou ChocoPépites,egg;milk;wheat_gluten,soy,beurre -> milk;ble -> wheat_gluten;farine de ble -> wheat_gluten;oeufs -> egg,ble -> wheat_gluten;lait -> milk;lait ecreme -> milk;soja -> soy,
00000550,Krautsalat,peanut;sesame;tree_nut;wheat_gluten,,ble -> wheat_gluten;cacahuetes -> peanut;gluten -> wheat_gluten;noix -> tree_nut;sesame -> sesame,,
0002000012670,,egg;milk;mustard;sesame;soy;wheat_gluten,,ble -> wheat_gluten;farine de ble -> wheat_gluten;gluten -> wheat_gluten;lait -> milk;moutarde -> mustard;oeuf -> egg;sesame -> sesame;soja -> soy,,
0001110843432,"Mixed Nuts, Salted",peanut;tree_nut,,almonds -> tree_nut;brazil nuts -> tree_nut;cashews -> tree_nut;hazelnuts -> tree_nut;peanut -> peanut;peanut oil -> peanut;peanuts -> peanut;pecans -> tree_nut,,
0001757016092,Finest Milk Chocolate,milk;soy;tree_nut,,butter -> milk;hazelnut -> tree_nut;hazelnuts -> tree_nut;lactose -> milk;milk -> milk;milk powder -> milk;soy -> soy;soy lecithin -> soy;whey -> milk;whole milk -> milk,,
0000112407510,velouté de cresson.,,celery;egg;milk;wheat_gluten,,ble -> wheat_gluten;celeri -> celery;creme -> milk;gluten -> wheat_gluten;lait -> milk;oeuf -> egg,
000000000063,M&amp;M white,,,,,
