code,product_name,ground_truth,prediction,potential,true_positive,false_positive,false_negative,exact_match
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,milk;peanut;soy,milk;peanut;soy,wheat_gluten,milk;peanut;soy,,,True
0001003676718,,soy;wheat_gluten,soy;wheat_gluten,egg;milk;peanut;sesame;tree_nut,soy;wheat_gluten,,,True
00000049,Mre Lite,egg;milk,egg;fish;milk,,egg;milk,fish,,False
00000037,Sea Moss Gummies,,,,,,,True
0000200008423,Thai sweet chilli sensations,soy;wheat_gluten,wheat_gluten,celery;milk;mustard,wheat_gluten,,soy,False
00001422,Le Jambon de nos Régions,milk,milk,soy,milk,,,True
0001005400031,cocoa powder,,,milk;peanut;soy;tree_nut;wheat_gluten,,,,True
0000987500001,Tofu Nature Bio,soy,soy,mustard;peanut;sesame;tree_nut;wheat_gluten,soy,,,True
00000104,30 Panach' Fruits,egg;milk;wheat_gluten,egg;milk;wheat_gluten,,egg;milk;wheat_gluten,,,True
00012782,Bagel sésame 3 fromages,milk;sesame;soy;wheat_gluten,milk;sesame;soy;wheat_gluten,,milk;sesame;soy;wheat_gluten,,,True
0000112301878,pot au feu de légumes aux aromates,milk,celery;milk,egg;wheat_gluten,milk,celery,,False
0001121325632,"Cashews, salted",peanut;tree_nut,peanut;tree_nut,,peanut;tree_nut,,,True
0001116103494,Whole roasted cashews,peanut;soy;tree_nut,peanut;soy;tree_nut,,peanut;soy;tree_nut,,,True
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,milk;peanut;tree_nut,milk;peanut;tree_nut,,milk;peanut;tree_nut,,,True
00001403,Sablés Coco Lait,egg;milk;soy;wheat_gluten,egg;milk;soy;wheat_gluten,sesame,egg;milk;soy;wheat_gluten,,,True
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,tree_nut,milk;tree_nut,,tree_nut,milk,,False
0000252828288,Chick-fil-A nuggets,egg;milk;peanut;soy;wheat_gluten,egg;milk;peanut;soy;wheat_gluten,,egg;milk;peanut;soy;wheat_gluten,,,True
0000105748562,,wheat_gluten,wheat_gluten,egg,wheat_gluten,,,True
0001000657163,Tortellini Ricotta Epinard,egg;milk;wheat_gluten,egg;milk;wheat_gluten,,egg;milk;wheat_gluten,,,True
00000024,Croccante con pistacchi e miele,,,peanut;sesame;tree_nut;wheat_gluten,,,,True
00000224,madeleine Bijou ChocoPépites,egg;milk;wheat_gluten,egg;milk;wheat_gluten,soy;tree_nut,egg;milk;wheat_gluten,,,True
00000550,Krautsalat,,,peanut;sesame;tree_nut;wheat_gluten,,,,True
0002000012670,,wheat_gluten,wheat_gluten,egg;milk;mustard;sesame;soy,wheat_gluten,,,True
0001110843432,"Mixed Nuts, Salted",peanut;tree_nut,peanut;tree_nut,,peanut;tree_nut,,,True
0001757016092,Finest Milk Chocolate,milk;soy;tree_nut,milk;soy;tree_nut,,milk;soy;tree_nut,,,True
0000112407510,velouté de cresson.,milk,milk,celery;egg;wheat_gluten,milk,,,True
000000000063,M&amp;M white,wheat_gluten,wheat_gluten,sesame,wheat_gluten,,,True
