code,product_name,baseline_confirmed,v2_confirmed,confirmed_added,confirmed_removed,baseline_potential,v2_potential,potential_added,potential_removed,changed
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,milk;peanut;soy,milk;peanut;soy,,,wheat_gluten,wheat_gluten,,,NO
0001003676718,,wheat_gluten,soy;wheat_gluten,soy,,egg;milk;peanut;sesame;soy;tree_nut,egg;milk;peanut;sesame;tree_nut,,soy,YES
00000049,Mre Lite,egg;fish;milk,egg;fish;milk,,,,,,,NO
00000037,Sea Moss Gummies,,,,,,,,,NO
0000200008423,Thai sweet chilli sensations,soy;wheat_gluten,soy;wheat_gluten,,,celery;milk;mustard,celery;milk;mustard,,,NO
00001422,Le Jambon de nos Régions,milk,milk,,,soy,soy,,,NO
0001005400031,cocoa powder,,,,,milk;peanut;soy;tree_nut;wheat_gluten,milk;peanut;soy;tree_nut;wheat_gluten,,,NO
0000987500001,Tofu Nature Bio,,soy,soy,,mustard;peanut;sesame;soy;wheat_gluten,mustard;peanut;sesame;wheat_gluten,,soy,YES
00000104,30 Panach' Fruits,egg;milk;wheat_gluten,egg;milk;wheat_gluten,,,,,,,NO
00012782,Bagel sésame 3 fromages,milk;sesame;soy;wheat_gluten,milk;sesame;soy;wheat_gluten,,,,,,,NO
0000112301878,pot au feu de légumes aux aromates,celery,celery;milk,milk,,egg;milk;wheat_gluten,egg;wheat_gluten,,milk,YES
0001121325632,"Cashews, salted",peanut;tree_nut,peanut;tree_nut,,,,,,,NO
0001116103494,Whole roasted cashews,peanut;soy;tree_nut,peanut;soy;tree_nut,,,,,,,NO
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,milk;peanut;tree_nut,milk;peanut;tree_nut,,,,,,,NO
00001403,Sablés Coco Lait,egg;milk;soy;tree_nut;wheat_gluten,egg;milk;soy;tree_nut;wheat_gluten,,,sesame,sesame,,,NO
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,milk;tree_nut,milk;tree_nut,,,,,,,NO
0000252828288,Chick-fil-A nuggets,egg;milk;peanut;soy;wheat_gluten,egg;milk;peanut;soy;wheat_gluten,,,,,,,NO
0000105748562,,,wheat_gluten,wheat_gluten,,egg;wheat_gluten,egg,,wheat_gluten,YES
0001000657163,Tortellini Ricotta Epinard,egg;milk;tree_nut;wheat_gluten,egg;milk;tree_nut;wheat_gluten,,,,,,,NO
00000024,Croccante con pistacchi e miele,peanut;sesame;tree_nut;wheat_gluten,peanut;sesame;tree_nut;wheat_gluten,,,,,,,NO
00000224,madeleine Bijou ChocoPépites,egg;milk;wheat_gluten,egg;milk;wheat_gluten,,,soy,soy,,,NO
00000550,Krautsalat,peanut;sesame;tree_nut;wheat_gluten,peanut;sesame;tree_nut;wheat_gluten,,,,,,,NO
0002000012670,,egg;milk;mustard;sesame;soy;wheat_gluten,egg;milk;mustard;sesame;soy;wheat_gluten,,,,,,,NO
0001110843432,"Mixed Nuts, Salted",peanut;tree_nut,peanut;tree_nut,,,,,,,NO
0001757016092,Finest Milk Chocolate,milk;soy;tree_nut,milk;soy;tree_nut,,,,,,,NO
0000112407510,velouté de cresson.,,milk,milk,,celery;egg;milk;wheat_gluten,celery;egg;wheat_gluten,,milk,YES
000000000063,M&amp;M white,,,,,,,,,NO
