code,product_name,user_allergies,confirmed_allergens,potential_allergens,sulphite_threshold_allergens,decision,risk,matched_user_allergens,reason
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,Egg;Milk;Peanuts,milk;peanut;soy,wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk;Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0001003676718,,Egg;Milk;Peanuts,soy;wheat_gluten,egg;milk;peanut;sesame;tree_nut,,POTENTIAL RISK,PRECAUTIONARY,Egg;Milk;Peanuts,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
00000049,Mre Lite,Egg;Milk;Peanuts,egg;fish;milk,,,NOT SUITABLE,CONFIRMED,Egg;Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
00000037,Sea Moss Gummies,Egg;Milk;Peanuts,,,,SUITABLE,NO DETECTED USER ALLERGEN,,"The model did not detect a confirmed, threshold, or precautionary allergen matching the current user allergy profile."
0000200008423,Thai sweet chilli sensations,Egg;Milk;Peanuts,wheat_gluten,celery;milk;mustard,,POTENTIAL RISK,PRECAUTIONARY,Milk,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
00001422,Le Jambon de nos Régions,Egg;Milk;Peanuts,milk,soy,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0001005400031,cocoa powder,Egg;Milk;Peanuts,,milk;peanut;soy;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Milk;Peanuts,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
0000987500001,Tofu Nature Bio,Egg;Milk;Peanuts,soy,mustard;peanut;sesame;tree_nut;wheat_gluten,,POTENTIAL RISK,PRECAUTIONARY,Peanuts,The product may pose a risk because the model detected precautionary evidence associated with the user's allergy profile.
00000104,30 Panach' Fruits,Egg;Milk;Peanuts,egg;milk;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Egg;Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
00012782,Bagel sésame 3 fromages,Egg;Milk;Peanuts,milk;sesame;soy;wheat_gluten,,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0000112301878,pot au feu de légumes aux aromates,Egg;Milk;Peanuts,celery;milk,egg;wheat_gluten,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0001121325632,"Cashews, salted",Egg;Milk;Peanuts,peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0001116103494,Whole roasted cashews,Egg;Milk;Peanuts,peanut;soy;tree_nut,,,NOT SUITABLE,CONFIRMED,Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0000380102109,Chocolate Indulgence IsaLean Whole Blend Whey-Based Bar,Egg;Milk;Peanuts,milk;peanut;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk;Peanuts,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
00001403,Sablés Coco Lait,Egg;Milk;Peanuts,egg;milk;soy;wheat_gluten,sesame,,NOT SUITABLE,CONFIRMED,Egg;Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,Egg;Milk;Peanuts,milk;tree_nut,,,NOT SUITABLE,CONFIRMED,Milk,The product is not suitable because the model detected confirmed allergen(s) matching the user's allergy profile.
