code,product_name,matched_ingredient,allergen,evidence,context
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,caseinate,milk,direct,"concentre de proteines de lait (proteines de lactoserum, caseinate de calcium (contient du lait)), sirop de glucose, sirop de "
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,arachide,peanut,direct,"e de cacao, emulsifiant (lecithine de soja), arome), pate d'arachide (10 %), gelatine, riz souffle, poudre de cacao (0,7 %), col"
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,gluten,wheat_gluten,direct,as. peut contenir des traces d'autres fruits a coques et de gluten.
0001003676718,,soy lecithin,soy,potential,"up, salt, raising agents (e 503, e 450, e 500), emulsifier (soy lecithin), flavourings, colourings (e 160a). may contain traces of e"
0001003676718,,soy lecithin,soy,potential,"up, salt, raising agents (e 503, e 450, e 500), emulsifier (soy lecithin), flavourings, colourings (e 160a). may contain traces of e"
0001003676718,,sesame seeds,sesame,potential,"ntain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,wheat flour,wheat_gluten,direct,"wheat flour, sugar, vegetable oil (palm, rapeseed, sunflower, cottonsee"
0001003676718,,pistachios,tree_nut,potential,"60a). may contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,hazelnuts,tree_nut,potential,"urings (e 160a). may contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,peanuts,peanut,potential,"avourings, colourings (e 160a). may contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,sesame,sesame,potential,"ntain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,wheat,wheat_gluten,direct,"wheat flour, sugar, vegetable oil (palm, rapeseed, sunflower, cot"
0001003676718,,milk,milk,potential,", colourings (e 160a). may contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites."
0001003676718,,eggs,egg,potential,"n), flavourings, colourings (e 160a). may contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphi"
0001003676718,,soy,soy,potential,"up, salt, raising agents (e 503, e 450, e 500), emulsifier (soy lecithin), flavourings, colourings (e 160a). may contain tr"
00000049,Mre Lite,milk powder,milk,direct,"ice protein, chicken protein, egg albumin, salmon protein), milk powder (for texture), medium chain triglyceride (mct) oil powder ("
00000049,Mre Lite,milk powder,milk,direct,"ice protein, chicken protein, egg albumin, salmon protein), milk powder (for texture), medium chain triglyceride (mct) oil powder ("
00000049,Mre Lite,egg albumin,egg,direct," isolate, pea protein, brown rice protein, chicken protein, egg albumin, salmon protein), milk powder (for texture), medium chain t"
00000049,Mre Lite,albumin,egg,direct,"late, pea protein, brown rice protein, chicken protein, egg albumin, salmon protein), milk powder (for texture), medium chain t"
