code,product_name,ingredients_text,decision,risk_level,user_allergies,user_confirmed_allergens,user_potential_allergens,model_confirmed_allergens,model_potential_allergens,explanation
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,,NOT SUITABLE,CONFIRMED,peanut,peanut,,Milk; Peanut; Soy,Wheat/Gluten,The product is not suitable because the model detected the confirmed allergen(s): Peanut. Direct ingredient evidence: arachide -> peanut; pate d'arachide -> peanut.
0001003676718,,,POTENTIAL RISK,PRECAUTIONARY,peanut,,peanut,Wheat/Gluten,Egg; Milk; Peanut; Sesame; Soy; Tree nuts,The product may pose a risk because the model detected precautionary evidence associated with: Peanut. Precautionary evidence: peanuts -> peanut.
00000049,Mre Lite,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Egg; Milk,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
00000037,Sea Moss Gummies,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0000200008423,Thai sweet chilli sensations,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Soy; Wheat/Gluten,Milk,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
00001422,Le Jambon de nos Régions,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk,Soy,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0001005400031,cocoa powder,,POTENTIAL RISK,PRECAUTIONARY,peanut,,peanut,,Milk; Peanut; Soy; Wheat/Gluten,The product may pose a risk because the model detected precautionary evidence associated with: Peanut. Precautionary evidence: peanuts -> peanut.
0000987500001,Tofu Nature Bio,,POTENTIAL RISK,PRECAUTIONARY,peanut,,peanut,Sesame; Soy,Peanut; Tree nuts; Wheat/Gluten,The product may pose a risk because the model detected precautionary evidence associated with: Peanut. Precautionary evidence: cacahuetes -> peanut.
00000104,30 Panach' Fruits,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Wheat/Gluten,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
00012782,Bagel sésame 3 fromages,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk; Sesame; Soy; Wheat/Gluten,,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
0000112301878,pot au feu de légumes aux aromates,,SUITABLE,NO DETECTED USER ALLERGEN,peanut,,,Milk,Egg; Wheat/Gluten,The model did not detect a confirmed or precautionary allergen matching the current user allergy profile.
