allergen,precision,recall,f1,true_positive,false_positive,false_negative
peanut,0.75,1.0,0.8571428571428571,6,2,0
milk,0.8571428571428571,0.9230769230769231,0.8888888888888888,12,2,1
egg,1.0,0.5,0.6666666666666666,3,0,3
soy,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,1,1
wheat_gluten,0.8333333333333334,0.9090909090909091,0.8695652173913043,10,2,1
sesame,0.2,1.0,0.3333333333333333,1,4,0
tree_nut,0.6,1.0,0.75,6,4,0
MACRO,0.732766439909297,0.8887223887223887,0.7506408360445628,,,
MICRO_F1,,,0.8141592920353983,,,
HAMMING_LOSS,,,0.1111111111111111,,,
