code,product_name,ingredients_text,matched_ingredients,predicted_allergens,match_count
00000259,Barrette cioccolato e arachidi 1 barretta 35g.,"Concentré de protéines de lait (protéines de lactosérum, caséinate de calcium (contient du lait)), sirop de glucose, sirop de fructose, enrobage au chocolat au lait (17 %) (sucre, poudre de lait, beurre de cacao, pâte de cacao, émulsifiant (lécithine de soja), arôme), pâte d'arachide (10 %), gélatine, riz soufflé, poudre de cacao (0,7 %), colorant (caramel), arômes, DL-alpha-tocophérol, nicotinamide, D-pantothénate de calcium, chlorhydrate de thiamine, chlorhydrate de pyridoxine, riboflavine, cyanocobalamine. Conseil : pour les allergènes, voir les ingrédients en gras. PEUT CONTENIR DES TRACES D'AUTRES FRUITS À COQUES ET DE GLUTEN.",arachide;casein;caseinate;gluten;lactose,milk;peanut;wheat_gluten,5
0001003676718,,"WHEAT flour, sugar, vegetable oil (palm, rapeseed, sunflower, cottonseed), corn starch, glucose syrup, salt, raising agents (E 503, E 450, E 500), emulsifier (SOY lecithin), flavourings, colourings (E 160a). May contain traces of eggs, peanuts, milk, hazelnuts, pistachios, sesame seeds, sulphites.",egg;eggs;hazelnut;hazelnuts;milk;peanut;peanuts;pistachio;pistachios;sesame;sesame seed;sesame seeds;soy;soy lecithin;wheat;wheat flour,egg;milk;peanut;sesame;soy;tree_nut;wheat_gluten,16
00000049,Mre Lite,"Whole Food Protein Blend (Beef Protein Isolate, Pea Protein, Brown Rice Protein, Chicken Protein, Egg Albumin, Salmon Protein), Milk Powder (for texture), Medium Chain Triglyceride (MCT) Oil Powder (Nonfat Dry Milk, Potassium Phosphate), Natural and Artificial Flavors, Cellulose Gum, Sucralose, Acesulfame Potassium, Maltodextrin, Salt, Silicon Dioxide",albumin;egg;egg albumin;malt;milk;milk powder,egg;milk;wheat_gluten,6
00000037,Sea Moss Gummies,"Glucose Syrup, Sugar, Water, Citric Acid, Pectin, Natural Flavors, Sodium Citrate, Coconut Oil, Carnauba Wax",,,0
0000200008423,Thai sweet chilli sensations,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Thai Sweet Chilli Seasoning [Sugar, Soya Sauce Powder (contains Wheat), Fructose, Flavouring, Hydrolysed Vegetable Protein (contains Soya) Potassium Chloride, Salt, Dried Onion, Dried Red Chilli Flakes, Dried Garlic, Dried Parsley, Dried Tomato, Paprika Powder, Red Bell Pepper Powder Acidity Regulator (Citric Acid), Colour (Paprika Extract)], Firming Agent (Calcium Lactate Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid). Allergy Advice Contains: See highlighted ingredients May Contain: Milk, Gluten, Barley, Celery, Mustard Suitable for Vegetarians",barley;gluten;milk;soy;soya;soya sauce;wheat,milk;soy;wheat_gluten,7
00001422,Le Jambon de nos Régions,"Pea base (pea protein isolate 41%, lentil flour, potato starch, corn flour), sunflower oil, seasoning [onion powder, whey powder (milk), salt, sour cream powder (milk), cheese powder (cheese (milk), milk solids, emulsifier (disodium phosphate)), dextrose, yeast extract, natural flavouring, parsley herb flakes, acidity regulator (citric acid)], antioxidant (rosemary extract). May contain soybeans.",cheese;cream;milk;soy;soybean;soybeans;whey,milk;soy,7
0001005400031,cocoa powder,"Cocoa Powder, Synthetic Flavour. Manufactured on shared equipment that processes Peanuts, Tree Nuts, Milk, Soy and Wheat.",milk;peanut;peanuts;soy;wheat,milk;peanut;soy;wheat_gluten,5
0000987500001,Tofu Nature Bio,"Soja* (min. 54%), eau, coagulant (chlorure de magnésium) (*issu de l'agriculture biologique). Peut contenir des races de céréales contenant du gluten, cacahuètes, fruits à coque, éleri, graines de moutarde et graines de sésame. conserver à température",gluten;sesame,sesame;wheat_gluten,2
00000104,30 Panach' Fruits,"Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.",,,0
00012782,Bagel sésame 3 fromages,"PAIN BAGEL au SESAME 51,2% : Farine de BLE, eau, huile végétale raffinée de colza, sucre, GRAINES DE SESAME 2%, GLUTEN D E BLE, farine de MALT DE BLE, levure, sel, farine de SOJA, émulsifiants: E471, E322, agents de traitement de la farine : E300, E920. Garniture 48,8% : FROMAGE DE CHEVRE 41,1% (LAIT de chèvre pasteurise 98,3%, sel 1,5% ferments LACTIQUES et fongiques, coagulant), FROMAGE CHEDDAR 22,4% (FROMAGES [dont CHEDDAR 51%], LAIT écrémé réhydraté, BEURRE, sels de fonte : citrates de sodium, acide citrique, protéines de LAIT, sel, colorant : extrait de paprika, antiagglomérant:lécithine de tournesol). FROMAGE FRAIS 18,2% (BABEURRE, CREME pasteurisee 13,3%, protéines de LAIT, acidifiant :acide citrique, sel. épaississant farine de graines de caroube, conservateur : sorbate de potassium, arôme naturel),  FOURME D'AMBERT 18.2% (LAIT pasteurisé de vache, sel. présure animale ferments LACTIQUES). (% exprimés pur le garniture)",gluten;malt;sesame,sesame;wheat_gluten,3
