model,allergen,precision,recall,f1,support
TF-IDF + Linear SVM,egg,1.0,0.6666666666666666,0.8,6
TF-IDF + Linear SVM,milk,0.75,0.9230769230769231,0.8275862068965517,13
TF-IDF + Linear SVM,peanut,0.6666666666666666,0.6666666666666666,0.6666666666666666,6
TF-IDF + Linear SVM,sesame,0.5,1.0,0.6666666666666666,1
TF-IDF + Linear SVM,soy,0.45454545454545453,0.5555555555555556,0.5,9
TF-IDF + Linear SVM,tree_nut,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
TF-IDF + Linear SVM,wheat_gluten,0.6666666666666666,0.9090909090909091,0.7692307692307693,11
TF-IDF + Random Forest,egg,1.0,0.5,0.6666666666666666,6
TF-IDF + Random Forest,milk,0.8461538461538461,0.8461538461538461,0.8461538461538461,13
TF-IDF + Random Forest,peanut,0.7142857142857143,0.8333333333333334,0.7692307692307693,6
TF-IDF + Random Forest,sesame,1.0,1.0,1.0,1
TF-IDF + Random Forest,soy,0.5,0.4444444444444444,0.47058823529411764,9
TF-IDF + Random Forest,tree_nut,0.5,0.5,0.5,6
TF-IDF + Random Forest,wheat_gluten,0.8888888888888888,0.7272727272727273,0.8,11
