code,product_name,ingredients_text,allergens,allergens_en,additives_en
000000000063,M&amp;M white,"Weizenmehl, Rapsöl, Speisesalz, 1,7% Meersalz, Fefe, Gerstenmaizextrakt, Säureregulator: Natrium - hydroxid; Backtriebnittel: Ammoniumcarbonate. Das Produkt kann Spuren von Sesam enthalten. DURCHSCHNITTLICHE NÄHRWERTE - pro %RM* 100g pro 100g Brennwert kJ/kcal 1630/385 19% Fett 3,7g 5% davon: - gesättigte Fettsäuren 0,6g 3% Kohlenhydrate 74,0g 28% davon: - Zucker 2,4g 3% Ballaststoffe 3,9g 12,0g 24% Eiweiß 3,9g 65% Salz *Referenzmenge für einen durchschnittlichen Erwachsenen (8400 kJ/2000 kcal) AP EDEKA KUNDEN UND ERNÄHRUNGSSERVICE 2509 (",,,
0000000105,Paleta gran reserva - Sierra nevada-,"Thiamin, Biotin, Chromium, Garcinia cambogia fruit extract, Taurine, Green coffee fruit extract, Caffeine, Inositol, Citric Acid, Natural ,  Artificial Flavors, Sucralose, Spirulina Extract, Beta Carotene",,,"E330 - Citric acid,E955 - Sucralose"
00000007,granola Bio le Chocolaté,HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07,,,
00000008,,"Sojaproteinisolat, Weizen - protein, Kaffee-Extrakt (6 %), Reisprotein, Erbsenprotein - isolat, Kakaopulver stark ent - ölt, Sonnenblumenprotein, Mandelprotein, Aroma, Sü - Bungsmittel (Sucralose).",,,E955 - Sucralose
00000010,xxx,"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.","en:eggs,en:gluten,en:milk",,"E331 - Sodium citrates,E422 - Glycerol,E503 - Ammonium carbonates"
00000013,Powdered peanut butter,"Water, Leptospermum Scoparium Mel (Manuka Honey), Sodium C14-C16 Olefin Sulfonate, Cocamide DIPA ,  Cocamidopropyl Betaine (Coconut Oil), Cocamidopropyl Betaine (Coconut Oil), Glycereth-2 Cocoate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Malus Domestica Fruit Cell Culture Extract, Phenoxyethanol (and) Ethylhexylglycerin",,,
00000015,Madeleines ChocoLait,"Farine de blé 27%, chocolat au lait 18% (sucre, beurre de cacao, lait entier en poudre, pâte de cacao, émulsifiant : lécithines (soja), arôme naturel de vanille), sucre, huile de colza, œufs de poules élevées en plein air 14.5%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel. Peut contenir des traces de fruits à coque.",,,"E322 - Lecithins,E322i - Lecithin,E331 - Sodium citrates,E422 - Glycerol,E500 - Sodium carbonates,E503 - Ammonium carbonates"
00000016,velvety vanilla cake mix,Beef liver,,,
00000017,Collagen For Her,"whey protein concentrate, milk protein concentrate, flavoring, thickener (xanthan gum), sweetener (sucralose)",,,"E415 - Xanthan gum,E955 - Sucralose"
00000020,Nesquik moins de sucre,"Nuts (Peanuts, Almonds), Prebiotic Blend (Tapioca Fiber, Vegetable Fiber), Protein Blend (Pea Protein Crisps [Pea Protein, Tapioca Starch], Pea Protein), Natural Flavors, Peanut Flour, Coconut Oil, Unsweetened Chocolate, Cocoa, Cocoa Butter, Sea Salt, Lion's Mane, Stevia Plant Extract, Vitamin E","en:eggs,en:gluten,en:milk,en:soybeans",,
