code,product_name,ingredients_text,candidate_category,confirmed_allergens,potential_allergens,evidence_level,is_food,review_status
0001121325633,"Mixed nuts, salted","Balanced and unblanched peanuts, cashews, almonds, brazil nuts, pecans, hazelnuts, peanut and/or canola and/or cottonseed oil, sea salt.",peanut;tree_nut,peanut;tree_nut,,DIRECT,YES,KEEP
00000010,xxx,"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.",milk;egg;wheat_gluten,milk;egg;wheat_gluten,,DIRECT,YES,KEEP
00000134,Erythritol,Eritritol (100%). Store in a cool and dry place. Excessive consumption may have a laxative effect. Almacenar en un lugar fresco y seco. Un consumo excesivo puede producir efectos laxantes. Best Before End/ Batch: See package,,,,NONE,YES,KEEP
00000052,Organic Erythritol Granulated,100% certified organic granulated erythritol,,,,NONE,YES,KEEP
00001148,,"WEIZENmehl, 22% Butter (MILCH), Trinkwasser, EI, Hefe, Zucker, MagerMILCHpulver, Speisesalz, WEIZENprotein, Emulgator (Mono - und Diacetylweinsäureester von Mono - und Diglyceriden von Speisefettsäuren), inte Mehlbehandlungsmittel (Ascorbinsäure), WEIZENenzym. Kann Spuren von SESAM, SCHALENFRÜCHTEN, SOJA, SENF, SELLERIE enthalten. SAIS Pattont 3% ATT",milk;soy;wheat_gluten;sesame,milk;egg;wheat_gluten,sesame;tree_nut;soy,BOTH,YES,KEEP
00013826,Le jurassien,"Pain triangle aux CEREALES 37,7% : PATE (farine de BLE (farine de BLE, GLUTEN de BLE, farine de BLE malté, levure désactivée)), eau, dextrose, graines de tournesol 1,5%, sel, levure, poudre de BEURRE, perméat de LACTOSERUM, émulsifiant : E471e, GLUTEN de BLE, graines de millet 0,3%, graines de SESAME 0,3%, colorant : E160iii, agent de traitement de la farine : E300. décor GRAINES 3% (millet 45%, SESAME 35%, pavot 20%) Garniture 62,3% : concombre 30,3%, radis rouge 24,2%, carottes râpées 12,1%, COMTE 12,1% ( LAIT de vache, sel, FERMENTS LACTIQUES, présure), FROMAGES aux 4 poivres 12,1% (FROMAGE frais, eau, CREME, sel 1,5%, poivres 0,3% : vert, blanc, noir, baies roses, poivrons, arômes de BLE, dextrose), salade de batavia 9,1% (% exprimés sur la garniture)",,milk;wheat_gluten;sesame,,DIRECT,YES,KEEP
0000442811776,Instant shrip noodles,"enriched wheat flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), vegetable oil (contains one or more of the following: canola, cottonseed, palm) preserved by tbhq, salt, dehydrated vegetables (carrot, garlic, onion, chive), contains less than 2% of: chili, habanero, paprika, and other spices, monosodium glutamate, maltodextrin, freeze dried shrimp, dehydrated soy sauce (wheat, soybeans, salt), sugar, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, yeast extract, miso powder (soybeans, wheat, rice, salt), potassium carbonate, citric acid, sodium carbonate, sodium hexametaphosphaté, natural flavors, sésame oil, silicon dioxide (anti-caking agent), sodium tripolyphosphate, disodium guanylate, disodium inosinate, monosodium phosphate, lactose. irimp",,milk;soy;wheat_gluten;sesame,,DIRECT,YES,KEEP
00000452,,"Weizenmehl, Zucker, pflanzliche Fette (Palm, Kokos), Kakaomasse, Kakaobutter, Butterreinfett, Vollmilchpulver, Süßmolkenpulver, Magermilchpulver, Weizenstärke, fettarmes Kakaopulver, Hühnereieiweiß, Invertzuckersirup, Dextrose, Mandeln, Emulgatoren: Lecithine (enthält Soja), Mono - und Diglyceride von Speisefettsäuren; Kokosraspeln, Glukosesirup, Laktose, Salz, Backtriebmittel: Natriumcarbonate, Diphosphate, Ammoniumcarbonate; natürliches Aroma (enthält Gluten, Milch), Volleipulver, Rapsöl, Milcheiweiß, Hühnereieiweißpulver, Hühnereieigelbpulver, Karamellzuckersirup, Gewürze, Gerstenmalzextrakt, Farbstoff: Beta-Carotin. Kann andere Schalenfrüchte, Erdnüsse, Lupine und Sesam enthalten. GB Biscuit assortment with 17% chocolate, 10% milk chocolate and 6% white chocolate Ingredients: Wheat flour, sugar, vegetable fats (palm, coconut), cocoa mass, cocoa butter, pure butterfat (milk), whole milk powder, sweet whey powder (milk), skimmed milk powder, wheat starch, low fat cocoa powder, egg white, invert sugar syrup, dextrose, almonds, emulsifiers: lecithins (contain soya), mono - and diglycerides of fatty acids; rasped coconut, glucose syrup, lactose (milk), salt, raising agents: sodium carbonates, diphosphates, ammonium carbonates; natural flavour (contains gluten, milk). whole egg powder, rapeseed oil, milk protein, dried egg white, egg yolk powder, caramel sugar syrup, spices, malt extract (barley), colour: beta carotene. May contain other nuts, peanuts, lupin and sesame. FR Assortiment de biscuits avec 17% de chocolat, 10% de chocolat au lait et 6% de chocolat blanc Ingrédients: Farine de froment, sucre, graisses végétales (palme, coco), masse de cacao, beurre de cacao, graisse butyrique, lait entier en poudre, lactosérum doux en poudre, lait écrémé en poudre, amidon de blé, cacao maigre en poudre, blanc d'œufs, sirop de sucre inverti, dextrose, amandes, émulsifiants: lecithines (contient soja), mono-et diglycérides d'acides gras; noix de coco râpées, sirop de glucose, lactose, sel, poudres à lever: carbonates de sodium, diphosphates, carbonates d'ammonium; arôme naturel (contient du gluten, du lait), ceuf entier en poudre, huile de colza, protéine de lait, blancs d'œufs séché, jaune d'œuf en poudre, sirop de sucre caramélisé, épices, extrait de malt d'orge, colorant: béta-carotene. Peut contenir d'autres fruits à coque, de l'arachide, du lupin et du sésame. Sonnenkel Zartes Gebäck, verw Vollmilchschok PT Sortido de biscoito com Ingredientes: farinha de trigo leite gordo em pó, soro de la açúcar invertido, dextrose, amên glicose, lactose, sal, levedantes inteiro em pó, óleo de colza, p extracto de malte (cevada) Pode conter outros frutos d DK Blandede biscuits med Ingredienser: hvedemel, sukker vallepulver, skummetmælks emulgatorer: lecithiner (indehold natriumcarbonater, diphosphate æggehvidepulver, æggeblo Kan indeholde andre skalfre Nährwertde Déclaration nutr Información nut Declaração Energie/energy/énergie/e",peanut;milk;egg;soy;wheat_gluten;sesame;tree_nut,milk;egg;soy;wheat_gluten,,DIRECT,YES,KEEP
0000200010474,"40 SUME SEL POTATOES, WE SEE POTENTIAL 100% GREAT","Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Smoky Bacon Seasoning (Flavourings, Yeast Extract, Salt, Yeast Powder, Potassium Chloride, Acids (Citric Acid, Malic Acid), Colour (Paprika Extract), Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid) Allergy Advice May Contain: Milk, Soya, Mustard, Wheat and other cereals containing gluten SUITABLE FOR VEGETARIANS Packaged in a Protective Atmosphere WALKERS and the WALKERS logo are registered Trademarks 2025",,,milk;soy;wheat_gluten,PRECAUTIONARY,YES,KEEP
0000221608851,Mr Kipling 6 chocolate and caramel Bakewell tarts,"Wheat Flour, Sugar, Vegetable Oils, Glucose Syrup, Caramel Sauce 9% (Glucose Syrup, Sweetened Condensed Milk (Milk, Sugar), Water, Humectant (Vegetable Glycerine), Unsalted Butter (Milk), Sugar, Dextrose, Fructose, Gelling Agent (Pectin), Salt, Acidity Regulator (Sodium Citrates), Flavouring), Water, Icing Sugar, Cacao Nibs 1%, Humectant (Vegetable Glycerine), Ground Rice, Whey Powder (Milk), Skimmed Milk Powder, Fat Reduced Cocoa Powder 0.6%, Dried Egg White, Barley Malt Extract, Salt, Dextrose, Emulsifiers (Sorbitan Monostearate, Polysorbate 60), Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Preservatives (Potassium Sorbate, Sulphur Dioxide (Sulphites)), Flavouring (Sulphites). CONTAINS: WHEAT, GLUTEN, MILK, EGG, SULPHITES. MAY CONTAIN TREE NUTS. N N N M W B CO C 0 Be Fo Ca C AL ap Pr D&D W",,milk;egg;wheat_gluten,tree_nut,BOTH,YES,KEEP
